,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
008902041,1748587,45513.0,22281.0,263099.0,226922.0,1683.0,,,,,,,,,14756.0,,,,
008902102,2424995,,28597.0,177897.0,313340.0,31195.0,,,,,,,,,29398.0,,,,
008902103,1142520,,29328.0,18046.0,294988.0,7968.0,,,,,,,,,15701.0,,,,
008902999,1507,80321.0,,75851.0,265031.0,17998.0,1048264.0,,,,,,,1305000.0,1087258.0,1097679.0,72514.0,,
008903001,1004968,87433.0,,113815.0,118300.0,,,,,,,,,,119511.0,133182.0,,,
008903041,703105,31216.0,7507.0,46524.0,69971.0,,,,,,,,,,8023.0,95013.0,,,
008903102,1076649,,56482.0,79764.0,181124.0,125868.0,,,,,,,,,14949.0,122004.0,,,
009901001,1190959,160900.0,,,137317.0,8054.0,,,,,,,,,22432.0,,,,
009901041,866210,27162.0,8571.0,,195411.0,7295.0,,,,,,,,,7298.0,,,,
009901101,766792,,5960.0,,151345.0,21169.0,,,,,,,,,9094.0,,,,
009901103,966058,,,121115.0,238934.0,17433.0,,,,,,,,,9388.0,,,,
010901001,578737,52016.0,4500.0,155580.0,191889.0,,,,,,,,,,29865.0,,,1916.0,
010901101,602739,,2091.0,141908.0,91593.0,5225.0,,,,,,,,,11384.0,,,105.0,
010902001,2390601,193449.0,,131091.0,379664.0,7252.0,,,,,,,,,78449.0,,,,
010902041,2033998,62317.0,15991.0,16076.0,299657.0,,,,,,,,,,28624.0,,,240.0,
010902101,1724725,,,544021.0,346717.0,,,,,,,,,,34771.0,,,1370.0,
010902102,1476667,,10073.0,515807.0,373207.0,,,,,,,,,,43975.0,,,1120.0,
011901001,5270573,293692.0,903889.0,432195.0,1177019.0,72332.0,,,,,,,,,320238.0,51463.0,,,
011901041,1424508,52687.0,364948.0,189192.0,358720.0,11680.0,,,,,,,,,47145.0,7478.0,,,
011901101,1604728,,57461.0,118001.0,262059.0,715.0,,,,,,,,,4043.0,6046.0,,,
011901102,1491992,,57279.0,231379.0,314631.0,321235.0,,,,,,,,,4709.0,7512.0,,,
011901103,1465015,,42325.0,90729.0,238971.0,611166.0,,,,,,,,,4471.0,8036.0,,,
011901104,1509821,,50339.0,290824.0,363223.0,116972.0,,,,,,,,,12661.0,6832.0,,,
011901106,1436506,51750.0,296280.0,162167.0,267187.0,61902.0,,,,,,,,,55701.0,7011.0,,,
011901107,1294383,,45726.0,99768.0,336458.0,467499.0,,,,,,,,,7491.0,7939.0,,,
011901108,1461394,,45771.0,87215.0,331885.0,203545.0,,,,,,,,,7148.0,7270.0,,,
011901109,1359888,,55325.0,125086.0,165473.0,538860.0,,,,,,,,,704.0,6911.0,,,
011901110,1536530,,50082.0,92794.0,321218.0,499601.0,,,,,,,,,6821.0,8586.0,,,
011901999,145292,,,300873.0,1351852.0,53602.0,,9146079.0,,,,,,4583280.0,4390421.0,2119198.0,222050.0,191713.0,569049.0
011902001,2216225,243432.0,11136.0,40.0,459088.0,25122.0,,,,,,,,,61804.0,417794.0,,,
011902041,1628077,55168.0,30527.0,6413.0,516735.0,,,,,,,,,,241237.0,191694.0,,,
011902101,1632817,,69294.0,,218689.0,,,,,,,,,,66535.0,99264.0,,,
011902102,1601531,,57343.0,6793.0,373104.0,,,,,,,,,,72917.0,135834.0,,,
011902103,1601437,,27384.0,2800.0,128776.0,26316.0,,,,,,,,,15736.0,123667.0,,,
011902104,42882,,2112.0,,10266.0,,,,,,,,,,,,,,
011902999,107738,,808.0,1500.0,113056.0,77402.0,3645985.0,5121.0,,,,,,,544484.0,298792.0,89081.0,77534.0,10000.0
011904002,1312395,,200.0,,306006.0,42876.0,,,,,,,,,60.0,201867.0,,,
011904041,1164024,,21318.0,,332924.0,24629.0,,,,,,,,,61.0,163628.0,,,
011904101,965714,,21280.0,,263357.0,19092.0,,,,,,,,,56.0,112399.0,,,
011904102,1006609,,1.0,,247112.0,53877.0,,,,,,,,,60.0,144729.0,,,
011904699,5196,,,,300.0,2185.0,,,,,,,,,,,,,
011904999,39803,232104.0,,,111618.0,,662308.0,,,,,,,765000.0,,96449.0,63423.0,17958.0,
011905101,428443,5208.0,4575.0,1251.0,105827.0,7507.0,,,,,,,,,13049.0,,,,
012901001,795192,86386.0,5105.0,,52579.0,679.0,,,,,,,,,25000.0,139016.0,7598.0,6083.0,
012901042,495255,12266.0,3451.0,,52799.0,,,,,,,,,,584.0,3328.0,,1830.0,
