,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
015907005,6110,4526,76
015907006,9704,6667,122
015907007,5920,4307,77
015907008,7291,5184,89
015907014,16484,9894,127
015907020,9641,9641,0
015907022,8008,3743,32
015907023,6864,3821,34
015907024,64107,7711,15897
015907041,6103,4157,80
015907043,6770,4659,91
015907046,8159,5140,95
015907047,6225,4171,80
015907049,6111,4334,74
015907050,5597,3888,67
015907051,7156,4595,99
015907053,6970,4450,97
015907054,5830,3966,85
015907055,5901,4047,75
015907057,6357,4162,73
015907058,5700,3811,73
015907059,5794,4045,79
015907061,5510,3778,59
015907064,40129,20936,422
015907101,5833,4307,68
015907102,6988,5027,58
015907103,5817,4294,78
015907105,5663,4201,64
015907106,6724,5181,85
015907107,5967,4168,67
015907110,6058,4328,62
015907111,5845,4229,56
015907112,6115,4604,57
015907114,7971,5813,122
015907116,5519,4117,57
015907117,6451,4486,75
015907118,5991,4401,70
015907119,6620,4674,74
015907121,5795,4211,61
015907123,6081,4168,60
015907124,6689,4739,77
015907125,6306,4540,62
015907126,5999,4578,64
015907127,8263,5496,112
015907129,5777,4309,65
015907131,7126,4969,88
015907132,6212,4525,75
015907134,5315,3853,44
015907135,5199,3815,58
015907136,6043,4440,68
015907137,5966,4454,71
015907139,6460,4920,72
015907140,5961,4165,51
015907141,6236,4621,72
015907142,6372,4312,80
015907143,6403,4269,58
015907144,6863,5158,92
015907146,8512,6108,96
015907147,6052,4370,55
015907148,6142,4526,72
015907149,5994,4339,70
015907150,6160,4499,76
015907153,5976,4237,76
015907155,6070,4427,68
015907156,6588,4737,69
015907157,5516,3892,53
015907158,6818,4906,64
015907160,6369,4664,68
015907161,5381,3839,58
015907162,6458,4788,78
015907164,5591,4051,69
015907165,6792,4931,89
015907167,5723,4003,54
015907168,5612,4015,60
015907169,6627,5014,99
015907172,5744,4303,66
015907173,5637,4218,60
015907174,6756,5034,94
015907175,6549,4927,73
015907176,6197,4473,66
015907179,5892,4273,70
015907180,57468,25581,623
015907182,4998,3835,55
015907184,16836,15632,364
015907186,16541,13786,1547
015907194,6889,6477,104
015907195,6562,5277,81
015907201,90872,85274,1416
015907202,8208,7591,186
