,sat,act,act_pct
031906001,884,18.2,48.9
031906041,.,.,.
031906101,.,.,.
031906102,.,.,.
031906103,.,.,.
031906104,.,.,.
031906105,.,.,.
031906106,.,.,.
031906107,.,.,.
031909001,891,16.7,44.8
031909041,.,.,.
031909101,.,.,.
031909102,.,.,.
031911001,827,17.5,68.8
031911002,.,.,.
031911041,.,.,.
031911102,.,.,.
031911103,.,.,.
031912001,840,16.8,42.6
031912003,.,.,.
031912004,.,.,.
031912005,.,.,.
031912007,.,.,.
031912041,.,.,.
031912042,.,.,.
031912101,.,.,.
031912103,.,.,.
031912104,.,.,.
031912106,.,.,.
031912108,.,.,.
031912109,.,.,.
031912110,.,.,.
031912112,.,.,.
031912114,.,.,.
031912115,.,.,.
031912201,.,.,.
031913001,677,.,78.6
031913002,.,.,0
031913041,.,.,.
031913101,.,.,.
031914001,719,15.9,77.5
031914041,.,.,.
031914101,.,.,.
031916001,973,18,90.5
031916003,.,.,.
031916004,1024,21.4,97.5
031916005,1102,22.9,.
031916007,.,.,.
031916008,.,.,.
032902002,1000,24.9,50.5
032902041,.,.,.
032902103,.,.,.
032902104,.,.,.
033901001,.,20.1,84.6
033902001,.,20.4,78
033902002,.,.,.
033902041,.,.,.
033902101,.,.,.
033904001,.,20.2,71.4
033904101,.,.,.
033904102,.,.,.
034901001,1097,20.6,92.9
034901042,.,.,.
034901106,.,.,.
034901107,.,.,.
034902001,.,18.1,.
034902101,.,.,.
034903001,1094,19.9,87.2
034903041,.,.,.
034903101,.,.,.
034905002,945,19.7,82.3
034905041,.,.,.
034905102,.,.,.
034906001,.,19.3,79.3
034906041,.,.,.
034906101,.,.,.
034907001,969,18.3,74.3
034907041,.,.,.
034907101,.,.,.
034908102,.,.,.
034909001,.,.,44.4
034909101,.,.,.
035901001,.,18.3,69
035901041,.,.,.
035901102,.,.,.
035902001,.,16.6,64.5
035902101,.,.,.
035903001,.,23.4,85
036901001,952,24,56.2
036901002,.,.,.
036901003,.,.,.
036901004,.,.,.
036901005,.,.,.
036901041,.,.,.
036901101,.,.,.
036902001,1044,23,64.9
036902002,.,.,.
036902003,.,.,.
036902004,.,.,.
036902041,.,.,.
036902101,.,.,.
036902102,.,.,.
036902301,.,.,.
036903001,914,21.6,72.9
036903003,.,.,.
036903041,.,.,.
036903101,.,.,.
036903102,.,.,.
037901001,837,19.7,30.6
037901041,.,.,.
037901101,.,.,.
037904002,1032,18.9,60.6
037904004,.,.,0
037904042,.,.,.
037904043,.,.,.
037904102,.,.,.
037904103,.,.,.
037904104,.,.,.
037904105,.,.,.
037907002,1036,21.7,44
037907041,.,.,.
037907102,.,.,.
037907103,.,.,.
037908001,.,.,50
037909001,.,17,58.3
037909101,.,.,.
038901001,1141,20,79.4
038901041,.,.,.
038901102,.,.,.
039901001,.,20,45.5
039902001,1002,20.9,63.1
039902041,.,.,.
039902101,.,.,.
039903001,.,20.4,60.9
039903101,.,.,.
039904001,1010,20.1,71.4
039905001,1050,21,53.3
040901001,.,18.6,82.4
040901002,.,.,0
040901041,.,.,.
040901102,.,.,.
040902001,1047,20.5,68.8
040902002,.,.,.
040902101,.,.,.
041901001,1002,20.6,70.4
041901002,.,.,.
041901003,.,.,.
041901101,.,.,.
041902001,934,18.9,60.7
041902002,.,.,.
041902101,.,.,.
041902180,.,.,.
041902202,.,.,.
042901001,1073,20.3,91.9
042901002,.,.,0
042901041,.,.,.
042901102,.,.,.
042903001,.,19.9,64.7
042903002,.,.,.
042903101,.,.,.
042903160,.,.,.
042903170,.,.,.
042905001,.,23.1,62.5
042905002,.,.,.
042905101,.,.,.
042905160,.,.,.
042905170,.,.,.
042906001,.,.,.
042906002,.,.,.
042906101,.,.,.
043901001,1036,22,76.4
043901002,.,.,.
043901003,.,.,.
043901042,.,.,.
043901043,.,.,.
043901101,.,.,.
043901102,.,.,.
043901104,.,.,.
043901105,.,.,.
043901106,.,.,.
043901107,.,.,.
043901108,.,.,.
043901109,.,.,.
043901110,.,.,.
043901111,.,.,.
043902001,887,19.1,57.1
043902041,.,.,.
043902101,.,.,.
043903001,985,20.9,81.3
043903041,.,.,.
043903042,.,.,.
043903101,.,.,.
043904001,986,19,54.2
043904041,.,.,.
043904101,.,.,.
043904102,.,.,.
043905001,1025,21.3,63.3
043905041,.,.,.
043905043,.,.,.
043905101,.,.,.
043905102,.,.,.
043905103,.,.,.
043905104,.,.,.
043905105,.,.,.
043905106,.,.,.
043905107,.,.,.
043905108,.,.,.
043905109,.,.,.
043905110,.,.,.
043907002,1063,22.2,75.2
043907003,.,.,8.3
043907004,.,.,.
043907005,.,.,.
043907006,.,.,.
043907041,.,.,.
043907043,.,.,.
043907044,.,.,.
043907102,.,.,.
043907104,.,.,.
043907105,.,.,.
043907107,.,.,.
043907108,.,.,.
043907109,.,.,.
043907110,918,.,.
043907111,.,.,.
043907112,.,.,.
043907113,.,.,.
043907115,.,.,.
043907116,.,.,.
043907117,.,.,.
043907118,.,.,.
043907197,.,.,.
043908101,.,.,.
043908102,.,.,.
043910001,1133,24.3,97.3
043910003,.,.,.
043910004,.,.,.
043910005,.,.,.
043910006,1111,23.9,76.9
043910007,.,.,.
043910009,.,.,.
043910010,1135,24.1,97.8
043910042,.,.,.
043910043,.,.,.
043910044,.,.,.
043910045,.,.,.
043910046,.,.,.
043910047,.,.,.
043910048,.,.,.
043910049,.,.,.
043910050,.,.,.
043910052,.,.,.
043910053,.,.,.
043910101,.,.,.
043910102,.,.,.
