,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
014906131,-1,-1,-1,.,.,.
014906132,-1,-1,-1,.,.,.
014907001,63,64,90,954,19.4,56.3
014907041,-1,-1,-1,.,.,.
014907102,-1,-1,-1,.,.,.
014908001,78,79,94,1001,20,71.7
014908041,-1,-1,-1,.,.,.
014908101,-1,-1,-1,.,.,.
014909002,51,55,77,1017,20.5,66.4
014909006,-1,-1,-1,.,.,.
014909041,-1,-1,-1,.,.,.
014909042,-1,-1,-1,.,.,.
014909044,-1,-1,-1,.,.,.
014909101,.,.,.,.,.,.
014909102,-1,-1,-1,.,.,.
014909107,-1,-1,-1,.,.,.
014909110,-1,-1,-1,.,.,.
014909111,-1,-1,-1,.,.,.
014909114,-1,-1,-1,.,.,.
014909115,-1,-1,-1,.,.,.
014909116,-1,-1,-1,.,.,.
014909117,-1,-1,-1,.,.,.
014909118,-1,-1,-1,.,.,.
014909198,.,.,.,.,.,.
014910001,73,75,92,947,19.6,51.3
014910041,-1,-1,-1,.,.,.
014910042,.,.,.,.,.,.
014910101,-1,-1,-1,.,.,.
014910103,-1,-1,-1,.,.,.
015801001,-3,5,47,.,.,0
015801002,17,15,77,858,.,37.5
015801003,-1,-1,-1,.,.,.
015802001,22,5,57,-1,.,3.4
015802004,.,.,.,.,.,.
015803101,-1,-1,-1,.,.,.
015805101,-1,-1,-1,.,.,.
015806001,41,40,83,.,.,.
015806041,-1,-1,-1,.,.,.
015806101,-1,-1,-1,-1,.,13.3
015806103,-1,-1,-1,.,.,.
015807001,30,21,65,-1,-1,11.7
015807002,15,-3,63,-1,.,2.4
015807004,9,-3,67,-1,.,5
015807005,29,20,71,.,.,.
015808001,-1,-1,-1,.,.,-1
015808002,50,-1,60,.,.,0
015808003,-1,-1,-1,.,.,.
015808004,.,.,.,.,.,.
015808005,-1,-1,-1,.,.,-1
015809101,-1,-1,-1,.,.,.
015810001,-1,-1,-1,.,.,-1
015811101,-1,-1,-1,.,.,.
015812001,11,-3,40,-1,.,12.5
015813041,-1,-1,-1,.,.,.
015814001,16,-3,64,.,.,0
015814002,-1,-1,-1,.,.,.
015815001,-1,-1,-1,.,.,0
015815101,15,14,46,.,.,.
015816001,18,-3,38,.,.,0
015817001,23,20,65,.,.,0
015818001,13,14,52,.,.,0
015819001,-1,-1,-1,.,.,.
015819101,-1,-1,-1,.,.,.
015819102,20,20,89,.,.,-1
015820001,25,22,58,.,.,-1
015822001,8,9,61,-1,-1,-2
015822002,19,16,62,.,.,0
015823001,57,-1,71,.,-1,5.6
015824001,-1,-1,-1,.,.,.
015825101,-1,-1,-1,.,.,.
015826041,-1,-1,-1,.,.,.
015901001,84,85,95,1113,22.3,86.4
015901041,-1,-1,-1,.,.,.
015901101,-1,-1,-1,.,.,.
015901102,.,.,.,.,.,.
015901104,-1,-1,-1,.,.,.
015904001,27,28,68,819,18.3,49.4
015904002,45,46,81,818,17.5,42.1
015904003,.,.,.,.,.,.
015904004,40,14,80,-1,-1,5.1
015904007,.,.,.,.,.,.
015904008,.,.,.,.,.,.
015904010,-1,-1,-1,.,.,.
015904041,-1,-1,-1,.,.,.
015904042,-1,-1,-1,.,.,.
015904043,-1,-1,-1,.,.,.
015904044,-1,-1,-1,.,.,.
015904045,.,.,.,.,.,.
015904046,.,.,.,.,.,.
015904047,-1,-1,-1,.,.,.
015904048,-1,-1,-1,.,.,.
015904101,-1,-1,-1,.,.,.
015904102,-1,-1,-1,.,.,.
015904103,-1,-1,-1,.,.,.
015904104,-1,-1,-1,.,.,.
015904105,-1,-1,-1,.,.,.
015904106,-1,-1,-1,.,.,.
015904107,-1,-1,-1,.,.,.
015904108,-1,-1,-1,.,.,.
015904109,-1,-1,-1,.,.,.
015904110,-1,-1,-1,.,.,.
015904111,-1,-1,-1,.,.,.
015904113,-1,-1,-1,.,.,.
015904114,-1,-1,-1,.,.,.
015904115,-1,-1,-1,.,.,.
015904116,-1,-1,-1,.,.,.
015904117,.,.,.,.,.,.
015905002,20,19,69,811,16.4,47.5
015905003,27,31,66,835,16.9,44.4
015905007,59,63,88,.,.,.
015905010,.,.,.,.,.,.
015905041,-1,-1,-1,.,.,.
015905044,-1,-1,-1,.,.,.
015905045,-1,-1,-1,.,.,.
015905046,-1,-1,-1,.,.,.
015905101,-1,-1,-1,.,.,.
015905102,-1,-1,-1,.,.,.
015905104,-1,-1,-1,.,.,.
