,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,county_num,charter,grade_span
003902001,162,170,137,117,15,515,54,147,48,98,147,29860,12,7.2,HUDSON ISD,003,N,09 - 12
003902004,4,3,2,1,0,5,5,2,0,0,2,34281,16.5,4,HUDSON ISD,003,N,09 - 12
003902041,0,0,0,0,13,402,63,183,45,67,183,30386,12.8,7.1,HUDSON ISD,003,N,06 - 08
003902102,0,0,0,0,49,809,174,599,31,72,599,28592,10.7,7.5,HUDSON ISD,003,N,EE - 05
003903002,0,658,530,471,540,878,218,516,134,235,516,32030,14.2,9.7,LUFKIN ISD,003,N,10 - 12
003903004,3,7,12,24,13,22,11,12,0,4,12,.,.,.,LUFKIN ISD,003,N,09 - 12
003903041,302,0,0,0,152,360,96,211,96,84,211,28137,9.7,6.8,LUFKIN ISD,003,N,08 - 09
003903042,0,0,0,0,194,311,93,275,54,87,275,29194,11.8,9.3,LUFKIN ISD,003,N,07 - 07
003903043,342,0,0,0,202,384,106,365,43,87,365,28599,10.9,8.3,LUFKIN ISD,003,N,08 - 09
003903103,0,0,0,0,100,162,57,224,0,53,224,31333,14.7,11.3,LUFKIN ISD,003,N,04 - 06
003903104,0,0,0,0,203,128,16,222,87,25,222,31415,14.3,11.3,LUFKIN ISD,003,N,KG - 02
003903105,3,2,3,8,163,82,113,342,1,35,342,28386,10.1,6.4,LUFKIN ISD,003,N,EE - 12
003903106,0,0,0,0,113,188,70,283,0,42,283,32284,16.4,11.3,LUFKIN ISD,003,N,KG - 03
003903107,0,0,0,0,173,239,69,273,0,46,273,32163,15.2,11.8,LUFKIN ISD,003,N,KG - 03
003903109,0,0,0,0,10,336,450,498,0,42,498,30883,14.7,11.9,LUFKIN ISD,003,N,KG - 06
003903110,0,0,0,0,178,249,84,278,0,35,278,32226,15.5,11.9,LUFKIN ISD,003,N,EE - 03
003903112,0,0,0,0,122,232,41,164,0,54,164,30680,13,9.3,LUFKIN ISD,003,N,04 - 06
003903114,0,0,0,0,0,4,0,1,0,4,1,0,0,0,LUFKIN ISD,003,N,EE - 04
003903115,0,0,0,0,102,176,46,186,0,61,186,32610,15.5,11.5,LUFKIN ISD,003,N,04 - 06
003903116,0,0,0,0,286,272,32,328,209,55,328,30364,11.8,9.5,LUFKIN ISD,003,N,03 - 06
003903117,0,4,1,1,2,5,0,1,0,7,1,35811,27,24,LUFKIN ISD,003,N,08 - 12
003903201,4,3,0,0,2,5,2,3,0,3,3,.,.,.,LUFKIN ISD,003,N,08 - 10
003904001,149,98,92,93,27,402,5,136,33,103,136,30087,10.5,6.2,HUNTINGTON ISD,003,N,08 - 12
003904005,12,21,27,19,3,70,6,22,0,11,22,38370,20.7,9.3,HUNTINGTON ISD,003,N,09 - 12
003904041,0,0,0,0,26,340,6,161,29,76,161,26656,6.2,3.4,HUNTINGTON ISD,003,N,06 - 08
003904101,0,0,0,0,15,460,10,221,27,53,221,26605,7.4,4.2,HUNTINGTON ISD,003,N,EE - 03
003904102,0,0,0,0,17,214,5,118,24,51,118,31074,13.3,12,HUNTINGTON ISD,003,N,04 - 08
003905001,174,153,121,96,88,253,202,227,27,105,227,32804,13.9,7.8,DIBOLL ISD,003,N,09 - 12
003905041,0,0,0,0,83,170,160,231,28,53,231,30238,12.7,6.8,DIBOLL ISD,003,N,06 - 08
003905101,0,0,0,0,84,266,225,355,20,71,355,28394,10.3,7.2,DIBOLL ISD,003,N,02 - 05
003905102,0,0,0,0,88,167,162,296,0,26,296,28500,10.3,7.8,DIBOLL ISD,003,N,EE - 01
003906001,35,32,28,31,0,204,7,88,12,54,88,27581,8.9,4.6,ZAVALLA ISD,003,N,06 - 12
003906101,0,0,0,0,0,202,1,124,8,24,124,26786,7,5.9,ZAVALLA ISD,003,N,PK - 05
003907001,117,116,99,69,13,369,18,98,5,68,98,32785,11,5.1,CENTRAL ISD,003,N,09 - 12
003907004,1,4,2,0,0,7,0,0,0,0,0,.,.,.,CENTRAL ISD,003,N,09 - 11
003907041,0,0,0,0,10,348,21,128,23,58,128,31143,11.3,6.1,CENTRAL ISD,003,N,06 - 08
003907101,0,0,0,0,14,372,30,217,13,43,217,29053,7.6,4,CENTRAL ISD,003,N,EE - 02
003907102,0,0,0,0,5,321,22,156,20,54,156,32442,12.3,8.1,CENTRAL ISD,003,N,03 - 05
004901001,334,257,223,159,18,625,237,324,60,129,324,30914,11.7,5.6,ARANSAS COUNTY ISD,004,N,09 - 12
004901041,0,0,0,0,9,352,148,268,41,97,268,29563,9.6,5,ARANSAS COUNTY ISD,004,N,07 - 08
004901042,0,0,0,0,13,351,169,317,46,109,317,30410,10.7,5,ARANSAS COUNTY ISD,004,N,05 - 06
004901101,0,0,0,0,10,251,77,219,52,52,219,33066,14.2,6.9,ARANSAS COUNTY ISD,004,N,02 - 05
004901102,0,0,0,0,18,307,189,421,6,48,421,30214,9.5,5.8,ARANSAS COUNTY ISD,004,N,EE - 01
004901103,0,0,0,0,6,249,126,246,23,71,246,32730,14.9,7.1,ARANSAS COUNTY ISD,004,N,02 - 04
005901001,50,52,45,29,3,318,8,58,22,73,58,30484,15,7,ARCHER CITY ISD,005,N,06 - 12
005901101,0,0,0,0,0,236,4,60,7,25,60,30843,13.1,8.5,ARCHER CITY ISD,005,N,EE - 05
005902001,82,64,64,78,1,275,12,34,22,27,34,32761,12.5,5.8,HOLLIDAY ISD,005,N,09 - 12
005902041,0,0,0,0,0,257,10,50,23,28,50,33280,12,7.4,HOLLIDAY ISD,005,N,06 - 08
005902101,0,0,0,0,0,408,13,23,28,25,23,30496,12.3,7.7,HOLLIDAY ISD,005,N,EE - 05
005903001,8,6,10,5,0,38,5,31,7,11,31,27663,6.6,4,MEGARGEL ISD,005,N,07 - 12
005903101,0,0,0,0,0,37,5,34,3,8,34,22322,3,2,MEGARGEL ISD,005,N,PK - 06
005904001,22,26,25,34,2,160,8,39,21,17,39,29111,10.6,6.3,WINDTHORST ISD,005,N,07 - 12
005904101,0,0,0,0,0,177,41,69,10,28,69,29685,11.7,7.5,WINDTHORST ISD,005,N,EE - 06
006902001,38,25,43,32,1,228,11,46,28,25,46,30142,10.6,5.6,CLAUDE ISD,006,N,06 - 12
006902101,0,0,0,0,0,172,11,66,9,26,66,30800,14.1,7.3,CLAUDE ISD,006,N,EE - 05
007901001,43,38,43,32,0,19,137,108,7,31,108,33787,12.1,5.3,CHARLOTTE ISD,007,N,09 - 12
007901041,0,0,0,0,0,17,103,85,8,27,85,30801,8,4.7,CHARLOTTE ISD,007,N,06 - 08
007901101,0,0,0,0,0,35,204,195,14,24,195,34302,17.5,13.5,CHARLOTTE ISD,007,N,PK - 05
007902001,112,83,77,70,4,178,159,162,27,72,162,32252,13.2,7.3,JOURDANTON ISD,007,N,09 - 12
007902002,2,1,0,0,0,1,3,0,0,2,0,.,.,.,JOURDANTON ISD,007,N,07 - 10
007902041,0,0,0,0,0,131,139,153,20,53,153,30152,10.6,7.2,JOURDANTON ISD,007,N,06 - 08
007902101,0,0,0,0,2,271,341,432,45,76,432,34194,16.7,10.1,JOURDANTON ISD,007,N,PK - 05
007904001,116,83,83,62,1,117,225,184,37,45,184,32392,12.3,5.6,LYTLE ISD,007,N,09 - 12
007904002,0,0,0,0,0,0,1,1,0,1,1,.,.,.,LYTLE ISD,007,N,08 - 08
007904041,0,0,0,0,0,131,245,235,52,60,235,33873,12.1,5.9,LYTLE ISD,007,N,05 - 08
007904101,0,0,0,0,1,138,352,351,27,46,351,30069,9.2,5.8,LYTLE ISD,007,N,EE - 04
007905001,310,270,245,222,9,466,566,495,65,255,495,31463,12.2,7.2,PLEASANTON ISD,007,N,09 - 12
007905003,3,1,1,1,0,2,4,4,0,0,4,.,.,.,PLEASANTON ISD,007,N,09 - 12
007905041,0,0,0,0,4,333,475,467,68,173,467,31059,13.2,7.5,PLEASANTON ISD,007,N,06 - 08
007905042,0,0,0,0,0,0,4,4,0,2,4,.,.,.,PLEASANTON ISD,007,N,07 - 08
007905101,0,0,0,0,0,7,18,15,0,0,15,34726,15.7,12.3,PLEASANTON ISD,007,N,KG - 04
007905102,0,0,0,0,1,52,126,143,1,8,143,26261,6.9,2.8,PLEASANTON ISD,007,N,PK - 02
007905103,0,0,0,0,10,323,434,483,60,103,483,29320,10.1,7.2,PLEASANTON ISD,007,N,EE - 05
007905104,0,0,0,0,2,274,358,419,0,38,419,31771,13.3,9.2,PLEASANTON ISD,007,N,EE - 02
007906001,125,129,116,89,0,86,373,255,31,72,255,32372,13.2,6.4,POTEET ISD,007,N,09 - 12
007906002,10,8,9,4,0,4,28,22,0,3,22,26140,6.5,2,POTEET ISD,007,N,08 - 12
007906003,1,1,0,0,0,0,3,0,0,1,0,.,.,.,POTEET ISD,007,N,06 - 10
007906041,0,0,0,0,0,85,278,270,18,69,270,30430,11.7,6.1,POTEET ISD,007,N,06 - 08
007906101,0,0,0,0,3,135,667,671,45,86,671,30414,11.3,7.4,POTEET ISD,007,N,EE - 05
008901001,208,139,136,126,70,492,47,69,10,55,69,32562,14.6,10.3,BELLVILLE ISD,008,N,09 - 12
008901041,0,0,0,0,79,404,59,134,57,54,134,31165,13.3,7.9,BELLVILLE ISD,008,N,06 - 08
008901101,0,0,0,0,100,307,77,173,25,55,173,32158,13.9,9.6,BELLVILLE ISD,008,N,EE - 03
008901102,0,0,0,0,39,177,34,84,17,32,84,29508,9.7,5.8,BELLVILLE ISD,008,N,04 - 05
008901105,0,0,0,0,22,135,21,43,15,22,43,31981,11.4,7.6,BELLVILLE ISD,008,N,KG - 05
008902001,214,145,159,152,97,432,138,155,25,82,155,35385,14.7,10.3,SEALY ISD,008,N,09 - 12
008902041,0,0,0,0,41,205,82,109,13,54,109,35356,13.6,7.6,SEALY ISD,008,N,07 - 08
008902102,0,0,0,0,131,379,219,386,10,52,386,33794,13.2,7.9,SEALY ISD,008,N,EE - 03
008902103,0,0,0,0,73,289,147,225,18,67,225,32418,12.3,7.5,SEALY ISD,008,N,04 - 06
008903001,92,78,65,58,33,192,65,90,31,49,90,30685,9.2,6.5,WALLIS-ORCHARD ISD,008,N,09 - 12
008903041,0,0,0,0,42,133,51,95,27,39,95,31440,10.5,7,WALLIS-ORCHARD ISD,008,N,06 - 08
008903101,0,0,0,0,73,92,62,148,0,19,148,34792,15.6,10.6,WALLIS-ORCHARD ISD,008,N,PK - 05
008903102,0,0,0,0,6,121,55,67,11,24,67,34233,13.1,10.8,WALLIS-ORCHARD ISD,008,N,EE - 05
009901001,114,99,113,82,13,198,194,161,35,52,161,30725,13.8,7.6,MULESHOE ISD,009,N,09 - 12
009901041,0,0,0,0,7,128,229,220,29,47,220,28974,9.9,7.7,MULESHOE ISD,009,N,06 - 08
009901101,0,0,0,0,10,135,203,229,38,33,229,27957,9,7.6,MULESHOE ISD,009,N,03 - 05
009901103,0,0,0,0,8,102,263,301,17,68,301,28079,9.8,7.5,MULESHOE ISD,009,N,EE - 02
009903001,15,5,11,7,0,60,60,73,6,6,73,27624,7.8,3.6,THREE WAY ISD,009,N,KG - 12
010901001,38,32,32,20,0,155,20,91,9,38,91,31830,15.9,10.3,MEDINA ISD,010,N,07 - 12
010901101,0,0,0,0,0,120,24,65,1,28,65,29816,14.1,7.5,MEDINA ISD,010,N,EE - 06
010902001,197,148,131,108,2,472,109,130,44,95,130,29675,11.2,4.6,BANDERA ISD,010,N,09 - 12
010902041,0,0,0,0,2,451,83,189,66,96,189,29518,11.4,5.1,BANDERA ISD,010,N,06 - 08
010902101,0,0,0,0,0,508,131,337,47,72,337,28954,11.1,6.2,BANDERA ISD,010,N,EE - 05
010902102,0,0,0,0,2,369,44,155,28,48,155,25318,7.7,2.4,BANDERA ISD,010,N,KG - 05
011901001,495,347,279,249,118,936,308,334,9,187,334,31735,11.4,5.8,BASTROP ISD,011,N,09 - 12
011901022,12,8,20,20,6,40,14,25,0,5,25,27732,6.9,3.5,BASTROP ISD,011,N,09 - 12
011901033,7,4,2,3,3,11,11,12,0,4,12,30409,10.6,5,BASTROP ISD,011,N,07 - 12
011901038,5,5,2,4,6,16,4,21,0,28,21,28845,8.4,6.7,BASTROP ISD,011,N,03 - 12
011901041,0,0,0,0,96,552,245,356,60,129,356,28994,8.7,5.1,BASTROP ISD,011,N,07 - 08
011901101,1,0,0,2,53,428,117,286,21,72,286,27090,6.5,3.3,BASTROP ISD,011,N,PK - 12
011901102,0,0,0,0,129,294,109,264,39,83,264,30606,10.5,7.2,BASTROP ISD,011,N,EE - 04
011901103,0,0,0,0,39,485,330,488,32,74,488,28473,7.8,4.3,BASTROP ISD,011,N,EE - 04
011901104,0,0,0,0,87,533,237,398,54,137,398,28664,9.5,5.5,BASTROP ISD,011,N,05 - 06
011901105,0,0,0,0,31,187,22,82,16,19,82,26553,5.2,2.4,BASTROP ISD,011,N,PK - 04
011902001,242,180,146,134,111,353,232,285,31,98,285,29665,10.3,5.4,ELGIN ISD,011,N,09 - 12
011902002,1,7,2,16,2,11,13,15,0,2,15,40627,25.5,14.5,ELGIN ISD,011,N,09 - 12
011902041,0,0,0,0,95,289,216,303,33,95,303,29300,10.5,6,ELGIN ISD,011,N,06 - 08
011902101,0,0,0,0,47,201,154,223,23,72,223,29488,11.5,7,ELGIN ISD,011,N,04 - 05
011902102,0,0,0,0,144,325,346,521,33,88,521,29964,11.1,7.2,ELGIN ISD,011,N,EE - 03
011904002,154,101,105,90,59,318,67,134,70,72,134,29672,9.4,5.8,SMITHVILLE ISD,011,N,09 - 12
011904039,8,1,3,0,6,11,7,0,0,24,0,37113,17.5,3,SMITHVILLE ISD,011,N,06 - 11
011904041,0,0,0,0,36,166,65,126,30,39,126,29774,10.3,5.2,SMITHVILLE ISD,011,N,07 - 08
011904101,0,0,0,0,57,352,89,242,58,72,242,29965,11,5.7,SMITHVILLE ISD,011,N,03 - 06
011904102,0,0,0,0,58,293,77,243,10,64,243,30058,10.9,8.7,SMITHVILLE ISD,011,N,EE - 02
011905101,0,0,0,0,5,105,56,93,17,14,93,26459,6.1,3.4,MCDADE ISD,011,N,EE - 06
012901001,50,64,56,48,21,267,64,179,20,56,179,30728,16,10.5,SEYMOUR ISD,012,N,07 - 12
012901101,0,0,0,0,40,342,64,292,10,89,292,30176,14.1,10,SEYMOUR ISD,012,N,EE - 06
013901001,431,270,287,248,43,392,790,586,49,119,586,32370,11.6,7.2,BEEVILLE ISD,013,N,09 - 12
013901002,21,7,3,2,0,5,35,37,0,0,37,31062,7,4.3,BEEVILLE ISD,013,N,08 - 12
013901041,0,0,0,0,19,214,478,437,69,116,437,28762,7.9,5.4,BEEVILLE ISD,013,N,07 - 08
013901101,0,0,0,0,21,95,336,333,32,71,333,31274,10.3,8.3,BEEVILLE ISD,013,N,01 - 04
013901102,0,0,0,0,18,110,294,327,16,62,327,33171,14.1,11.5,BEEVILLE ISD,013,N,01 - 04
013901104,0,0,0,0,12,71,307,290,20,60,290,33603,13.5,11.6,BEEVILLE ISD,013,N,01 - 04
013901105,0,0,0,0,21,100,290,332,0,35,332,32519,12.6,9.3,BEEVILLE ISD,013,N,EE - KG
013901106,0,0,0,0,27,186,462,454,62,120,454,31363,10.6,7.9,BEEVILLE ISD,013,N,05 - 06
013902101,10,0,0,0,2,50,78,68,7,21,68,29396,10.4,7.1,PAWNEE ISD,013,N,PK - 09
013903001,51,37,35,34,0,154,96,135,28,38,135,28658,9.4,5.9,PETTUS ISD,013,N,06 - 12
013903101,0,0,0,0,0,132,82,157,12,35,157,31841,15.5,9.8,PETTUS ISD,013,N,EE - 06
013905001,72,58,42,51,3,105,115,99,28,20,99,29379,11.3,6.6,SKIDMORE-TYNAN ISD,013,N,09 - 12
013905041,0,0,0,0,1,82,101,112,23,21,112,28949,9.6,3.8,SKIDMORE-TYNAN ISD,013,N,06 - 08
013905101,0,0,0,0,2,117,224,249,10,32,249,29965,10.2,4.7,SKIDMORE-TYNAN ISD,013,N,PK - 05
014901001,91,65,71,67,2,265,26,52,45,46,52,31462,13.2,6.5,ACADEMY ISD,014,N,09 - 12
014901041,0,0,0,0,3,283,38,76,50,54,76,29142,11,6.4,ACADEMY ISD,014,N,05 - 08
014901101,0,0,0,0,3,311,42,117,24,59,117,30921,13.2,9.3,ACADEMY ISD,014,N,EE - 04
014902001,55,32,25,29,19,73,47,49,19,25,49,32229,14.7,8.7,BARTLETT ISD,014,N,09 - 12
014902041,0,0,0,0,13,46,27,47,4,21,47,31781,13.1,9.2,BARTLETT ISD,014,N,07 - 08
014902101,0,0,0,0,77,128,138,233,0,40,233,27524,10.2,8.2,BARTLETT ISD,014,N,PK - 06
014903001,545,456,387,344,72,1362,278,243,84,161,243,32503,14.2,8.4,BELTON ISD,014,N,09 - 12
014903041,0,0,0,0,50,721,203,337,139,136,337,31853,13.2,8.2,BELTON ISD,014,N,07 - 08
014903102,0,0,0,0,1,319,18,46,18,25,46,31173,14,6.7,BELTON ISD,014,N,EE - 04
014903103,0,0,0,0,51,223,119,300,7,58,300,29031,11.1,5.9,BELTON ISD,014,N,PK - 04
014903104,0,0,0,0,57,227,161,361,4,54,361,26782,8.5,6.6,BELTON ISD,014,N,PK - 04
014903107,0,0,0,0,31,232,234,363,15,56,363,32460,17.5,12.1,BELTON ISD,014,N,EE - 04
014903108,0,0,0,0,7,511,48,151,30,53,151,26698,8.6,4.1,BELTON ISD,014,N,KG - 04
014903109,0,0,0,0,7,296,64,193,22,56,193,30002,14.2,9.3,BELTON ISD,014,N,PK - 04
014903110,0,0,0,0,50,750,211,440,130,142,440,30098,12.7,7,BELTON ISD,014,N,05 - 06
014905001,42,45,32,42,11,128,21,61,14,22,61,32178,13.7,7.7,HOLLAND ISD,014,N,09 - 12
014905041,0,0,0,0,9,89,13,59,4,23,59,31541,13.7,7.6,HOLLAND ISD,014,N,06 - 08
014905101,0,0,0,0,11,145,36,103,2,28,103,30403,12.1,6.5,HOLLAND ISD,014,N,EE - 05
014906001,7,892,702,656,774,993,360,474,178,234,474,34575,12.5,9,KILLEEN ISD,014,N,09 - 12
014906002,6,851,718,646,856,780,400,377,134,209,377,33634,11.9,8.2,KILLEEN ISD,014,N,09 - 12
014906004,5,4,3,4,10,3,3,8,0,2,8,35856,14.2,8.3,KILLEEN ISD,014,N,09 - 12
014906006,3,7,13,62,35,25,20,85,0,6,85,33893,13.7,9.1,KILLEEN ISD,014,N,09 - 12
014906009,0,0,0,0,10,2,2,11,0,0,11,35875,4.7,3.9,KILLEEN ISD,014,N,06 - 08
014906011,921,0,0,0,343,383,142,352,99,113,352,28779,6.9,3.9,KILLEEN ISD,014,N,09 - 09
014906012,915,0,0,0,351,344,164,348,87,104,348,27630,5.5,3.4,KILLEEN ISD,014,N,09 - 09
014906022,0,1,0,0,0,5,0,0,0,3,0,40164,19.3,9.3,KILLEEN ISD,014,N,01 - 10
014906023,3,1,0,0,4,11,1,0,1,8,0,39498,16,11.7,KILLEEN ISD,014,N,KG - 10
014906041,0,0,0,0,360,269,144,453,66,112,453,31811,11.1,7.4,KILLEEN ISD,014,N,06 - 08
014906042,0,0,0,0,217,383,132,311,148,91,311,29998,8.4,6,KILLEEN ISD,014,N,06 - 08
014906043,0,0,0,0,429,308,156,448,86,115,448,32188,10.9,7.4,KILLEEN ISD,014,N,06 - 08
014906044,0,0,0,0,416,291,146,347,99,119,347,30506,9,6.1,KILLEEN ISD,014,N,06 - 08
014906045,0,0,0,0,348,292,157,508,77,99,508,29292,7.2,4.7,KILLEEN ISD,014,N,06 - 08
014906046,0,0,0,0,175,640,102,313,206,126,313,29502,8.8,6.1,KILLEEN ISD,014,N,06 - 08
014906048,0,0,0,0,305,243,146,283,103,97,283,27738,5.4,2.9,KILLEEN ISD,014,N,06 - 08
014906102,0,0,0,0,163,255,59,213,64,69,213,31765,8.9,7.3,KILLEEN ISD,014,N,PK - 05
014906103,0,0,0,0,239,156,102,438,12,81,438,25976,4.1,2.9,KILLEEN ISD,014,N,PK - 05
014906104,0,0,0,0,121,170,44,233,42,33,233,31404,9.5,7.4,KILLEEN ISD,014,N,PK - 05
014906105,0,0,0,0,162,444,106,518,24,62,518,29939,7.9,5.9,KILLEEN ISD,014,N,PK - 05
014906106,0,0,0,0,248,157,61,261,13,133,261,30081,8.5,5.8,KILLEEN ISD,014,N,EE - 05
014906108,0,0,0,0,295,347,88,309,70,63,309,32711,11.8,9,KILLEEN ISD,014,N,PK - 05
014906109,0,0,0,0,354,241,100,458,7,57,458,29645,8.3,6.4,KILLEEN ISD,014,N,EE - 03
014906110,0,0,0,0,232,238,106,358,26,75,358,33301,11,8.3,KILLEEN ISD,014,N,EE - 05
014906111,0,0,0,0,327,239,93,336,34,41,336,33341,11.6,8.3,KILLEEN ISD,014,N,PK - 05
014906112,0,0,0,0,342,213,104,564,13,67,564,29119,7.2,4.2,KILLEEN ISD,014,N,PK - 05
014906113,0,0,0,0,276,231,98,347,24,84,347,33543,12,9.3,KILLEEN ISD,014,N,EE - 05
014906114,0,0,0,0,189,116,63,304,13,44,304,26864,4,2.7,KILLEEN ISD,014,N,PK - 05
014906115,0,0,0,0,80,592,78,244,107,64,244,31695,10.6,7.8,KILLEEN ISD,014,N,PK - 05
014906116,0,0,0,0,323,271,97,558,13,42,558,32204,11.2,8.7,KILLEEN ISD,014,N,PK - 04
014906117,0,0,0,0,356,370,142,616,64,89,616,29862,8.5,5.6,KILLEEN ISD,014,N,PK - 05
014906119,0,0,0,0,388,283,105,390,13,31,390,31653,9.7,6.3,KILLEEN ISD,014,N,PK - 03
014906120,0,0,0,0,318,329,221,455,62,134,455,31781,10.6,7.9,KILLEEN ISD,014,N,EE - 05
014906121,0,0,0,0,108,536,213,442,70,67,442,32449,10.6,8.2,KILLEEN ISD,014,N,PK - 05
014906122,0,0,0,0,292,383,150,567,72,77,567,29715,7.7,4.9,KILLEEN ISD,014,N,PK - 05
014906123,0,0,0,0,311,326,100,577,47,83,577,30842,8.6,6.5,KILLEEN ISD,014,N,PK - 05
014906124,0,0,0,0,369,326,165,295,66,101,295,28486,6.6,4.8,KILLEEN ISD,014,N,PK - 05
014906125,0,0,0,0,299,170,101,299,40,94,299,29356,7.8,5.1,KILLEEN ISD,014,N,04 - 05
014906126,0,0,0,0,322,309,110,604,24,86,604,30228,7.6,5.8,KILLEEN ISD,014,N,EE - 05
014907001,78,65,77,47,9,229,28,69,19,42,69,28663,9.6,6.6,ROGERS ISD,014,N,09 - 12
014907041,0,0,0,0,3,166,34,68,24,22,68,28079,10.3,7,ROGERS ISD,014,N,06 - 08
014907102,0,0,0,0,10,314,65,185,30,44,185,28954,8.9,6.3,ROGERS ISD,014,N,PK - 05
014908001,76,65,62,58,0,345,43,53,21,57,53,34551,13.7,5.2,SALADO ISD,014,N,07 - 12
014908101,0,0,0,0,5,363,51,114,37,23,114,32783,11.4,6.2,SALADO ISD,014,N,PK - 06
014909002,840,521,446,351,511,1193,416,651,303,230,651,33519,13.9,10.2,TEMPLE ISD,014,N,09 - 12
014909004,0,0,0,0,1,0,0,0,0,0,0,35143,11.8,8.2,TEMPLE ISD,014,N,08 - 08
014909041,0,0,0,0,192,214,152,338,23,66,338,28215,8,5.3,TEMPLE ISD,014,N,06 - 08
014909042,0,0,0,0,209,353,199,383,100,106,383,29434,9.9,7.2,TEMPLE ISD,014,N,06 - 08
014909044,0,0,0,0,127,449,77,175,103,79,175,30270,9.9,5.6,TEMPLE ISD,014,N,06 - 08
014909101,0,0,0,0,131,128,51,186,17,15,186,29718,10.5,8,TEMPLE ISD,014,N,PK - 02
014909102,0,0,0,0,40,306,44,92,4,58,92,30308,11.9,8.9,TEMPLE ISD,014,N,EE - 05
