,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
246911001,251,225,221,182,113,879,303,55,114,452,18.4,10.9,17.4,9.4592145015,43905,71.1958,246,N,95.4,246911001,246911
246912001,55,45,51,36,2,187,146,19,18,42,14.5,17.1,15.9,11.377777778,42212,14.5467,246,N,96.5,246912001,246912
246913001,545,541,630,552,142,2268,1394,250,264,803,20.8,22.2,21.7,13.686460808,50924,154.5178,246,N,93,246913001,246913
246913002,463,455,631,513,92,2062,1571,316,156,213,20.4,23.4,24.9,12.897058824,49617,126.9207,246,N,94.8,246913002,246913
246913003,474,429,572,531,130,2006,1317,246,214,380,22.4,23.3,25.3,11.145073381,49021,134.8807,246,N,93.6,246913003,246913
247901001,353,274,245,263,30,1135,468,52,168,549,20.6,18.3,19.3,8.0193873284,46537,87.0955,247,N,96.1,247901001,247901
247901004,3,8,6,5,1,22,8,1,2,8,.,.,.,25.4,55320,1.4269,247,N,64.1,247901004,247901
247903001,218,225,210,208,9,861,657,75,92,206,16.6,19,19.5,12.888888889,50485,57.0217,247,N,94.8,247903001,247903
247903002,2,0,0,2,0,4,3,0,2,2,.,.,.,.,.,.,247,N,89.3,247903002,247903
247904001,70,71,57,51,1,249,152,20,25,87,13.7,14,15.8,9.3076923077,44978,23.4365,247,N,96,247904001,247904
247906001,73,45,50,46,3,214,120,24,23,96,14.1,13.4,13.8,15.107142857,44989,25.0147,247,N,96.1,247906001,247906
248901001,80,90,89,84,9,343,105,26,30,170,11.2,10.3,12.5,10.55,45538,32.9663,248,N,94.9,248901001,248901
249901001,54,61,54,57,1,226,202,15,25,57,14.3,12.4,9.7,16.893110267,47938,24.901,249,N,98.2,249901001,249901
