,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
031901135,89,84,96,93,96,99,98,79,031901135,031901
031901136,88,75,96,87,87,96,95,88,031901136,031901
031901138,85,83,78,78,87,96,92,85,031901138,031901
031901139,90,87,94,96,93,100,94,94,031901139,031901
031901141,85,84,94,83,93,94,93,89,031901141,031901
031901142,84,84,86,90,81,99,98,86,031901142,031901
031901143,85,80,73,65,74,91,89,79,031901143,031901
031903102,59,71,49,49,60,65,68,59,031903102,031903
031903103,85,81,61,67,66,83,86,68,031903103,031903
031903104,90,84,100,86,89,96,98,93,031903104,031903
031903106,70,55,75,71,88,90,84,68,031903106,031903
031903117,78,80,80,85,86,84,93,78,031903117,031903
031903122,81,72,71,76,77,85,82,67,031903122,031903
031903123,65,72,61,71,67,99,81,76,031903123,031903
031906106,87,86,86,82,93,94,91,91,031906106,031906
031906107,93,81,81,81,85,99,99,97,031906107,031906
031906108,94,92,96,94,95,100,100,95,031906108,031906
031912103,82,85,70,69,80,93,89,78,031912103,031912
031912104,67,87,68,76,86,86,89,71,031912104,031912
031912106,50,61,41,61,63,80,80,65,031912106,031912
031912110,75,82,67,71,81,86,84,76,031912110,031912
031912114,54,54,85,70,83,85,86,82,031912114,031912
031912115,78,80,76,74,72,91,85,70,031912115,031912
034903101,80,87,86,81,82,97,98,93,034903101,034903
034905102,86,79,83,74,64,94,96,84,034905102,034905
038901102,94,94,76,82,84,98,98,88,038901102,038901
039902101,86,96,71,74,71,93,96,86,039902101,039902
042901102,59,63,73,67,74,81,79,71,042901102,042901
043911101,76,82,55,64,59,96,95,86,043911101,043911
044902101,86,76,97,90,90,95,97,74,044902101,044902
045902101,58,72,61,71,67,87,83,65,045902101,045902
046901106,88,93,93,83,89,97,97,90,046901106,046901
046902101,77,85,86,89,91,99,100,88,046902101,046902
046902102,83,86,85,92,89,96,96,92,046902102,046902
046902115,63,70,69,68,66,93,89,78,046902115,046902
046902120,84,87,78,77,75,93,95,77,046902120,046902
046902121,85,92,69,83,91,93,98,88,046902121,046902
046902123,78,77,69,87,77,97,93,86,046902123,046902
049905101,72,95,94,85,81,97,100,74,049905101,049905
050910102,60,67,77,85,87,90,77,71,050910102,050910
052901101,43,63,42,66,72,66,74,69,052901101,052901
053001103,18,46,45,63,77,68,66,36,053001103,053001
054903102,67,79,53,42,47,76,89,57,054903102,054903
057903102,76,75,80,76,65,95,83,68,057903102,057903
057903105,85,82,67,68,71,90,88,70,057903105,057903
057903109,93,76,89,80,75,100,96,86,057903109,057903
057903110,63,65,48,58,52,81,93,73,057903110,057903
057903111,82,83,62,76,64,94,86,75,057903111,057903
057903112,98,100,95,96,95,98,97,95,057903112,057903
057903116,80,70,60,62,62,83,85,75,057903116,057903
057903118,86,88,98,98,95,98,95,89,057903118,057903
057903121,52,60,40,64,68,66,74,55,057903121,057903
057903123,85,87,75,85,85,94,90,88,057903123,057903
057903124,76,83,49,79,75,87,92,77,057903124,057903
057903128,71,83,81,88,86,94,92,89,057903128,057903
057905109,67,75,43,46,50,84,76,56,057905109,057905
057905110,38,46,33,39,33,71,59,33,057905110,057905
057905112,61,60,48,55,48,90,84,80,057905112,057905
057905120,84,82,79,65,61,87,93,72,057905120,057905
057905121,69,40,44,44,58,88,68,51,057905121,057905
057905122,35,45,39,48,43,70,62,47,057905122,057905
057905125,79,76,47,56,66,88,88,60,057905125,057905
057905129,60,56,54,53,57,82,84,64,057905129,057905
057905130,58,55,60,52,56,72,72,49,057905130,057905
057905131,57,64,80,60,67,82,86,74,057905131,057905
057905139,57,49,65,55,57,80,66,67,057905139,057905
057905145,76,73,60,45,63,89,81,62,057905145,057905
057905147,69,64,52,57,63,97,92,75,057905147,057905
057905149,63,72,55,76,76,69,73,46,057905149,057905
057905154,67,61,74,56,73,78,68,57,057905154,057905
057905156,59,57,56,58,55,73,73,59,057905156,057905
057905163,38,59,47,49,55,84,82,46,057905163,057905
057905164,57,67,65,73,73,82,81,60,057905164,057905
057905166,66,78,51,70,69,80,73,36,057905166,057905
057905167,68,70,77,74,68,91,86,70,057905167,057905
057905174,55,78,82,82,69,90,81,65,057905174,057905
057905175,14,34,19,31,34,40,50,16,057905175,057905
057905176,35,45,41,36,27,73,83,47,057905176,057905
057905180,75,77,75,67,79,90,94,61,057905180,057905
057905189,20,36,59,53,59,78,85,42,057905189,057905
057905192,42,60,86,57,57,91,85,64,057905192,057905
057905193,70,66,86,72,72,91,85,74,057905193,057905
057905194,29,59,59,69,65,75,85,62,057905194,057905
057905197,69,61,54,62,68,70,74,41,057905197,057905
057905203,81,72,76,76,73,98,91,62,057905203,057905
057905207,55,58,60,52,49,85,82,67,057905207,057905
057905208,75,79,69,67,77,79,85,56,057905208,057905
057905215,81,76,51,60,80,95,83,92,057905215,057905
057905220,38,52,26,34,38,68,75,42,057905220,057905
057905225,49,51,57,63,64,78,75,58,057905225,057905
057905230,74,76,87,83,83,91,92,67,057905230,057905
057905236,43,53,52,30,37,86,72,55,057905236,057905
057905240,67,65,72,74,82,79,89,70,057905240,057905
057905247,58,67,54,55,52,88,89,62,057905247,057905
057905266,26,49,48,43,60,71,63,35,057905266,057905
057905279,71,81,78,78,77,83,93,68,057905279,057905
057905280,74,68,53,60,65,85,88,62,057905280,057905
057905281,59,53,61,53,71,79,78,46,057905281,057905
057905283,53,60,54,58,61,85,88,51,057905283,057905
057905284,60,69,57,61,63,81,79,57,057905284,057905
057905286,64,34,72,54,60,85,85,73,057905286,057905
057905304,79,68,60,60,59,80,88,84,057905304,057905
057906103,42,55,49,71,73,94,82,65,057906103,057906
057906106,46,61,41,67,71,66,83,40,057906106,057906
057906107,76,84,71,82,64,84,82,52,057906107,057906
057909109,52,60,84,87,85,86,86,77,057909109,057909
057909113,70,75,66,67,53,85,83,63,057909113,057909
057909116,58,67,63,70,66,92,80,60,057909116,057909
057909120,64,81,65,73,70,91,90,78,057909120,057909
057909138,91,94,82,86,85,95,91,83,057909138,057909
057909154,73,80,81,84,87,91,93,80,057909154,057909
057909155,92,92,81,83,89,98,99,93,057909155,057909
057909156,91,90,82,81,77,95,89,86,057909156,057909
057909157,82,82,54,66,65,87,85,73,057909157,057909
057909158,62,79,54,64,66,88,91,69,057909158,057909
057909159,74,72,78,83,81,89,79,61,057909159,057909
057910106,76,88,82,84,78,88,90,68,057910106,057910
057910113,89,78,82,69,68,90,76,63,057910113,057910
057910119,61,68,73,68,74,83,84,71,057910119,057910
057910125,63,64,71,65,69,86,89,73,057910125,057910
057910126,72,74,81,82,87,93,93,81,057910126,057910
057910132,64,74,52,57,54,78,80,62,057910132,057910
057912103,70,64,46,54,50,82,79,47,057912103,057912
057913106,53,69,42,58,63,83,85,69,057913106,057913
057914104,77,78,77,74,72,96,92,68,057914104,057914
057914112,44,58,38,44,50,70,76,54,057914112,057914
057914123,68,75,79,78,76,90,96,91,057914123,057914
057914132,71,78,73,66,62,86,86,74,057914132,057914
057922106,72,82,76,92,90,90,91,80,057922106,057922
057922110,94,97,90,90,92,97,98,84,057922110,057922
057922111,85,93,69,88,80,97,100,87,057922111,057922
061901121,80,94,76,78,82,99,96,87,061901121,061901
061901122,82,93,85,95,96,99,99,93,061901122,061901
061901123,67,87,72,80,79,92,93,78,061901123,061901
061901125,72,82,59,70,65,98,98,83,061901125,061901
061902106,65,80,67,83,63,89,89,75,061902106,061902
061902107,51,76,63,72,71,90,94,62,061902107,061902
061902108,76,93,90,94,89,95,95,83,061902108,061902
061902111,46,61,57,71,69,93,89,73,061902111,061902
061902112,83,94,80,93,86,96,97,90,061902112,061902
061902113,82,91,64,80,87,89,93,69,061902113,061902
061902115,65,82,67,83,77,91,86,47,061902115,061902
061902117,69,90,58,86,87,96,90,90,061902117,061902
061902118,85,92,85,91,84,96,99,91,061902118,061902
061902120,83,95,88,89,98,100,100,89,061902120,061902
061902125,78,94,58,67,61,95,93,68,061902125,061902
061902128,83,90,87,88,88,97,93,81,061902128,061902
061902129,99,99,90,93,97,99,100,92,061902129,061902
061902130,94,94,96,95,95,99,100,93,061902130,061902
061902134,78,90,85,92,89,96,96,92,061902134,061902
061902140,60,77,80,92,95,90,90,86,061902140,061902
061902142,54,81,67,69,63,76,77,54,061902142,061902
061906101,74,70,72,80,78,93,85,77,061906101,061906
061907102,84,88,91,92,88,97,93,94,061907102,061907
061908104,87,91,78,82,81,83,88,79,061908104,061908
061911107,61,82,60,76,76,92,89,85,061911107,061911
061911108,54,68,53,68,56,88,88,71,061911108,061911
061911113,61,77,48,69,79,93,93,74,061911113,061911
061911116,74,85,87,88,85,91,90,81,061911116,061911
061912105,88,94,79,89,78,95,95,88,061912105,061912
061914103,80,88,79,73,79,94,95,84,061914103,061914
061914104,76,86,84,79,88,90,95,81,061914104,061914
062904102,35,48,53,76,71,90,87,55,062904102,062904
065901101,72,84,64,86,89,94,89,74,065901101,065901
067902101,85,93,79,88,88,100,98,90,067902101,067902
067903101,78,83,84,72,72,86,92,80,067903101,067903
067904101,80,80,70,65,52,100,81,88,067904101,067904
070908104,78,91,70,86,78,100,98,87,070908104,070908
070908106,90,95,85,90,91,96,99,83,070908106,070908
070908107,66,77,66,72,81,93,95,73,070908107,070908
070908108,75,88,77,88,92,91,95,87,070908108,070908
070915101,67,88,55,69,74,84,90,71,070915101,070915
071901104,67,72,72,74,79,92,80,81,071901104,071901
071902103,88,88,90,89,99,97,98,88,071902103,071902
071902105,82,84,74,62,67,98,88,81,071902105,071902
071902106,77,80,53,57,43,89,86,81,071902106,071902
071902111,55,59,71,72,78,98,81,64,071902111,071902
071902115,78,81,94,85,79,90,88,90,071902115,071902
071902116,90,81,69,78,84,95,95,92,071902116,071902
071902121,81,84,68,73,70,95,86,76,071902121,071902
071902141,66,56,57,71,63,94,86,69,071902141,071902
071902144,87,83,97,82,74,100,79,79,071902144,071902
071902151,86,93,98,95,93,100,100,100,071902151,071902
071902155,75,77,72,62,89,85,79,62,071902155,071902
071902162,90,78,93,96,95,100,99,91,071902162,071902
071902163,85,83,83,83,83,99,98,89,071902163,071902
071902166,85,90,87,86,88,98,94,78,071902166,071902
071902169,64,67,57,55,69,87,83,73,071902169,071902
071902174,78,83,84,76,86,100,94,76,071902174,071902
071902175,67,77,75,83,86,91,87,71,071902175,071902
071905113,65,68,78,79,84,95,85,68,071905113,071905
071905129,93,94,96,90,91,100,97,96,071905129,071905
071905131,74,71,70,78,79,98,82,85,071905131,071905
071907101,74,80,70,75,82,89,87,64,071907101,071907
071907103,61,82,75,79,81,100,93,89,071907103,071907
071909103,89,87,58,71,74,90,89,80,071909103,071909
071909113,70,74,68,77,87,92,88,84,071909113,071909
071909114,83,87,78,75,81,94,90,79,071909114,071909
071909121,88,88,92,89,98,94,93,91,071909121,071909
071909126,87,89,88,84,92,95,97,90,071909126,071909
073903102,14,31,27,29,28,40,64,24,073903102,073903
075903102,62,69,61,63,70,85,93,73,075903102,075903
077902101,77,69,77,88,65,81,81,58,077902101,077902
079901102,70,64,75,75,55,95,84,73,079901102,079901
079901107,59,61,72,64,75,79,76,48,079901107,079901
079901110,86,94,90,91,87,99,98,85,079901110,079901
079901112,71,78,85,67,65,93,83,58,079901112,079901
079901114,93,97,91,94,93,100,98,94,079901114,079901
079901116,65,66,63,54,54,88,82,60,079901116,079901
079901118,85,69,72,61,54,96,76,59,079901118,079901
079901119,91,96,96,97,93,99,98,90,079901119,079901
079901122,72,80,88,83,77,99,97,85,079901122,079901
079901123,87,92,91,92,98,100,98,91,079901123,079901
079901125,82,73,73,73,66,95,86,65,079901125,079901
079901126,97,92,91,88,89,98,97,93,079901126,079901
079907109,46,49,63,44,44,96,87,54,079907109,079907
079907118,71,77,85,82,79,90,87,74,079907118,079907
079907120,92,96,92,90,88,99,99,90,079907120,079907
079907122,59,65,58,60,79,91,93,80,079907122,079907
079907123,80,90,91,89,86,98,95,84,079907123,079907
079907124,57,72,74,78,76,92,90,67,079907124,079907
079907125,83,92,80,84,76,91,96,86,079907125,079907
079907127,86,86,86,82,80,88,90,70,079907127,079907
079907128,91,95,99,96,95,99,98,95,079907128,079907
079907133,76,88,76,77,76,87,90,78,079907133,079907
079907144,70,75,77,54,46,88,82,58,079907144,079907
079907146,62,73,75,77,75,85,82,69,079907146,079907
