,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
108906046,236,208,241,2,685,18,12,77,82,525,12.7,18.8,18.6,12.2,51057,54.3,108,N,96.1,108906046,108906
108906047,309,348,354,4,1011,33,67,171,74,522,21.2,21.2,22.4,10.8,51000,72.3,108,N,96.5,108906047,108906
108906048,226,295,266,4,787,9,24,125,77,428,21.6,21,22.8,12,51621,56.5,108,N,96.6,108906048,108906
108907041,229,208,216,2,653,1,6,115,56,522,10.6,14.1,18,12,50238,52.1,108,N,95,108907041,108907
108907108,178,221,180,1,579,0,3,68,47,553,17,19.7,20.7,11.4,50282,48.4,108,N,95.5,108907108,108907
108908041,280,268,272,1,820,1,14,150,47,577,9.1,10.6,10.2,11.6,52664,56.9,108,N,95.8,108908041,108908
108908042,304,282,281,0,867,1,10,99,67,778,17,18.7,21.3,11.5,52106,57.3,108,N,95.4,108908042,108908
108908043,326,325,306,1,957,0,4,114,59,857,22.4,20,25.5,11.1,52039,60.2,108,N,96.5,108908043,108908
108908044,249,244,254,0,747,0,2,99,57,631,19,19.6,20.3,8.7,50668,51.7,108,N,95.5,108908044,108908
108909041,308,290,320,1,918,1,3,152,73,740,20.8,15.9,20.1,8.9,51181,58,108,N,96.4,108909041,108909
108909042,217,211,227,3,655,2,1,59,57,614,20.6,15.4,16.7,10.2,51881,52.5,108,N,96.2,108909042,108909
108909043,331,345,329,1,1005,3,5,151,87,839,22.2,18,18,10.7,52913,64.3,108,N,96.3,108909043,108909
108909044,304,323,361,0,988,2,4,111,116,839,15.6,19.4,19.5,11.9,53869,74.1,108,N,96.1,108909044,108909
108909045,270,266,265,0,801,0,2,86,76,687,18.2,16.7,19.1,9.5,51617,54.6,108,N,96.9,108909045,108909
