,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
188901047,290,266,283,136,839,103,39,74,762,19.7,21.6,21.8,10.493021162,44679,59.6664,188,N,95.8,188901047,188901
188901048,262,262,247,33,771,630,134,71,134,21,19.3,22.8,12.078431373,46105,49.1527,188,N,96.2,188901048,188901
188901051,11,15,11,4,37,0,0,0,36,.,.,12,8.6199095023,44391,3.5457,188,N,97.1,188901051,188901
188902102,110,127,121,1,358,312,33,46,192,23.2,23.6,24.4,9.2455406707,38752,23.0771,188,N,96.1,188902102,188902
188903041,74,65,75,10,214,126,39,25,124,16.8,14.3,19.9,10.105263158,45261,15.2541,188,N,95.5,188903041,188903
189902041,90,100,113,0,303,6,17,16,278,15.8,16.3,17.1,10.15625,43680,28.8352,189,N,95,189902041,189902
190903041,131,130,107,14,368,299,26,50,176,16.9,13.7,19.7,17.151515152,43480,29.3203,190,N,96.1,190903041,190903
192901041,53,67,58,2,178,42,14,13,83,14.2,11,15.5,12.263157895,43358,16.7347,192,N,96.4,192901041,192901
194903102,67,53,65,10,185,152,42,17,101,15,12.9,16.7,12.662224175,40216,13.2296,194,N,95.8,194903102,194903
194904042,65,62,56,114,183,44,16,20,157,15.6,12.7,12.9,9.4176572467,38380,18.3483,194,N,96.1,194904042,194904
194905041,26,26,39,12,91,74,14,5,43,10.8,13,16.3,1.0066282599,34794,8.5793,194,N,94.8,194905041,194905
198901041,37,38,30,21,105,80,8,15,46,11.7,11.5,11.3,12.444444444,42382,13.273,198,N,96.4,198901041,198901
198903041,87,73,71,23,231,178,22,29,77,14.4,13.7,13.1,14.307692308,41664,23.3687,198,N,95.7,198903041,198903
200901041,78,69,75,6,222,129,35,25,115,14.6,13.6,15.9,15.033333333,40596,21.7825,200,N,96.5,200901041,200901
201902041,252,230,230,125,712,408,52,55,375,13.9,14.6,18.7,15.10808985,41800,58.0784,201,N,96.1,201902041,201902
201914041,46,72,54,29,172,116,17,25,100,12.4,13.5,17.4,10.357142857,39503,18.172,201,N,95.5,201914041,201914
204901041,137,120,153,97,410,288,26,60,247,19.7,19.4,21.3,11.75,43014,27.4916,204,N,94.9,204901041,204901
204904041,129,154,153,24,436,326,29,60,279,15.9,13.2,20.5,10.161472807,43532,37.1095,204,N,95.7,204904041,204904
205905041,83,91,93,0,267,52,24,39,147,17.8,11.8,18,5.7192146862,41405,19.5495,205,N,95.8,205905041,205905
205906041,167,149,154,5,470,78,54,57,348,14.5,14.9,14.5,9.0975609756,41520,40.2088,205,N,95,205906041,205906
208902041,202,195,185,22,582,265,41,74,246,18.1,18,17.3,10.80952381,42710,39.9433,208,N,95.1,208902041,208902
