,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
057814,.,.,.,057814
057815,-1,-1,-1,057815
057816,.,.,.,057816
057817,.,.,.,057817
057819,-1,-1,-1,057819
057821,.,.,.,057821
057825,-1,-1,-1,057825
057827,.,.,.,057827
057828,-1,-1,-1,057828
057829,.,.,.,057829
057830,.,.,.,057830
057831,.,.,.,057831
057832,.,.,.,057832
057833,.,.,.,057833
057834,.,.,.,057834
057835,.,.,.,057835
057836,.,.,.,057836
057837,.,.,.,057837
057838,.,.,.,057838
057839,.,.,.,057839
057840,.,.,.,057840
057841,.,.,.,057841
057842,.,.,.,057842
057843,.,.,.,057843
057903,21.4,21.4,21.4,057903
057904,18,18,18,057904
057905,17.2,17.2,17.2,057905
057906,18.6,18.6,18.6,057906
057907,19.8,19.8,19.8,057907
057909,20.3,20.3,20.3,057909
057910,19.4,19.4,19.4,057910
057911,26.1,26.1,26.1,057911
057912,19.4,19.4,19.4,057912
057913,16.3,16.3,16.3,057913
057914,19.5,19.5,19.5,057914
057916,22.7,22.7,22.7,057916
057919,.,.,.,057919
057922,24.2,24.2,24.2,057922
058902,22.4,22.4,22.4,058902
058905,22.2,22.2,22.2,058905
058906,18.7,18.7,18.7,058906
058909,-1,-1,-1,058909
059901,20.4,20.4,20.4,059901
059902,.,.,.,059902
060902,20.6,20.6,20.6,060902
060914,15.3,15.3,15.3,060914
061802,18.8,18.8,18.8,061802
061901,20.7,20.7,20.7,061901
061902,22.3,22.3,22.3,061902
061903,19.6,19.6,19.6,061903
061905,20.8,20.8,20.8,061905
061906,22.2,22.2,22.2,061906
061907,22.3,22.3,22.3,061907
061908,21.6,21.6,21.6,061908
061910,22,22,22,061910
061911,21.2,21.2,21.2,061911
061912,21.3,21.3,21.3,061912
061914,20,20,20,061914
062901,21,21,21,062901
062902,.,.,.,062902
062903,20.6,20.6,20.6,062903
062904,18.8,18.8,18.8,062904
062905,.,.,.,062905
062906,.,.,.,062906
063903,19.9,19.9,19.9,063903
063906,20.2,20.2,20.2,063906
064903,18.9,18.9,18.9,064903
065901,20.2,20.2,20.2,065901
065902,20.6,20.6,20.6,065902
066005,.,.,.,066005
066901,16.8,16.8,16.8,066901
066902,17,17,17,066902
066903,17.8,17.8,17.8,066903
067902,19.9,19.9,19.9,067902
067903,20.8,20.8,20.8,067903
067904,18,18,18,067904
067907,-1,-1,-1,067907
067908,-1,-1,-1,067908
068801,.,.,.,068801
068901,21.1,21.1,21.1,068901
069901,19.2,19.2,19.2,069901
069902,22.6,22.6,22.6,069902
070801,-1,-1,-1,070801
070901,-1,-1,-1,070901
070903,19.8,19.8,19.8,070903
070905,18,18,18,070905
070907,16.6,16.6,16.6,070907
070908,21.8,21.8,21.8,070908
070909,17.7,17.7,17.7,070909
070910,18.1,18.1,18.1,070910
070911,20.8,20.8,20.8,070911
070912,21.9,21.9,21.9,070912
070915,20.7,20.7,20.7,070915
071801,.,.,.,071801
071803,.,.,.,071803
071804,.,.,.,071804
071805,-1,-1,-1,071805
071806,.,.,.,071806
071807,.,.,.,071807
071901,18.3,18.3,18.3,071901
071902,20.5,20.5,20.5,071902
071903,-1,-1,-1,071903
071904,16.3,16.3,16.3,071904
071905,17,17,17,071905
071906,17.9,17.9,17.9,071906
071907,16.9,16.9,16.9,071907
071908,.,.,.,071908
071909,19.3,19.3,19.3,071909
072801,.,.,.,072801
072802,.,.,.,072802
072901,.,.,.,072901
072902,20.9,20.9,20.9,072902
072903,21.6,21.6,21.6,072903
072904,.,.,.,072904
072908,23.3,23.3,23.3,072908
072909,-1,-1,-1,072909
072910,.,.,.,072910
073901,18.2,18.2,18.2,073901
073903,15.2,15.2,15.2,073903
073904,.,.,.,073904
073905,22.7,22.7,22.7,073905
074903,21.7,21.7,21.7,074903
074904,20.4,20.4,20.4,074904
074905,17.5,17.5,17.5,074905
074907,20,20,20,074907
074909,22,22,22,074909
074911,19.9,19.9,19.9,074911
074912,21.6,21.6,21.6,074912
074917,20.3,20.3,20.3,074917
075901,19.7,19.7,19.7,075901
075902,21.5,21.5,21.5,075902
075903,22.6,22.6,22.6,075903
075906,.,.,.,075906
075908,-1,-1,-1,075908
076903,18.5,18.5,18.5,076903
076904,17.7,17.7,17.7,076904
077901,20.2,20.2,20.2,077901
077902,19.3,19.3,19.3,077902
078901,20.9,20.9,20.9,078901
079901,20.4,20.4,20.4,079901
079906,20.9,20.9,20.9,079906
079907,21.9,21.9,21.9,079907
079908,.,.,.,079908
079910,20.5,20.5,20.5,079910
080901,20.8,20.8,20.8,080901
081902,19.9,19.9,19.9,081902
081904,20.3,20.3,20.3,081904
081905,18.9,18.9,18.9,081905
081906,.,.,.,081906
082902,18.8,18.8,18.8,082902
082903,19.1,19.1,19.1,082903
083901,19.5,19.5,19.5,083901
083902,20.6,20.6,20.6,083902
083903,23.4,23.4,23.4,083903
084801,.,.,.,084801
084802,.,.,.,084802
084804,.,.,.,084804
084901,19.6,19.6,19.6,084901
084902,19.2,19.2,19.2,084902
084903,-1,-1,-1,084903
084904,18,18,18,084904
084906,18,18,18,084906
084908,-1,-1,-1,084908
084909,19.9,19.9,19.9,084909
084910,23.8,23.8,23.8,084910
084911,24.2,24.2,24.2,084911
085902,21.2,21.2,21.2,085902
085903,20.3,20.3,20.3,085903
086024,.,.,.,086024
086901,20.9,20.9,20.9,086901
086902,21.3,21.3,21.3,086902
087901,22.5,22.5,22.5,087901
088902,19.3,19.3,19.3,088902
089901,17.8,17.8,17.8,089901
089903,19.9,19.9,19.9,089903
089905,18.2,18.2,18.2,089905
090902,17.2,17.2,17.2,090902
090903,19.3,19.3,19.3,090903
090904,20.9,20.9,20.9,090904
090905,.,.,.,090905
091901,20.2,20.2,20.2,091901
091902,21,21,21,091902
091903,21.5,21.5,21.5,091903
091905,22.6,22.6,22.6,091905
091906,22.3,22.3,22.3,091906
091907,.,.,.,091907
091908,21.4,21.4,21.4,091908
