,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
108904119,84,97,88,0,631,7,8,27,565,.,.,.,10.441773814,39212,34.7373,108,N,96.9,108904119,108904
108904120,94,96,75,0,613,6,19,46,572,.,.,.,9.9285714286,37911,38.8734,108,N,98,108904120,108904
108904121,92,85,82,0,588,3,5,55,557,.,.,.,7.2988463781,36858,33.162,108,N,97.3,108904121,108904
108904122,81,74,62,1,584,12,3,46,545,.,.,.,8.0092537297,37657,34.7833,108,N,96.2,108904122,108904
108904123,66,55,52,3,457,11,3,47,414,.,.,.,11.942857143,39924,32.6987,108,N,97,108904123,108904
108904125,90,93,75,1,645,5,7,37,601,.,.,.,6.3115074885,34846,37.1061,108,N,97.1,108904125,108904
108904126,74,81,58,0,530,5,10,37,497,.,.,.,7.3838752039,36444,32.5986,108,N,97.2,108904126,108904
108904127,71,62,85,0,505,1,7,48,481,.,.,.,3.8809715953,34039,33.829,108,N,97.3,108904127,108904
108905101,58,73,58,0,475,0,32,25,440,.,.,.,11.639315088,39487,28.6577,108,N,97.2,108905101,108905
108905102,47,40,56,1,447,0,35,13,416,.,.,.,14.973187022,43817,26.9198,108,N,97.9,108905102,108905
108905103,56,57,49,0,426,0,23,16,372,.,.,.,8.1923076923,38202,26,108,N,98,108905103,108905
108905104,51,42,48,1,358,1,17,13,349,.,.,.,6.7076471969,36406,20.8717,108,N,.,108905104,108905
108906101,83,96,78,2,610,5,0,29,561,.,.,.,12.644551586,44114,34.3287,108,N,97.2,108906101,108906
108906103,77,37,53,0,400,1,0,36,369,.,.,.,11.371736017,41318,25.6521,108,N,97,108906103,108906
108906107,99,102,98,5,674,24,0,44,596,.,.,.,13.170620422,44282,40.6324,108,N,96.2,108906107,108906
108906110,74,69,61,0,454,2,0,25,433,.,.,.,12.131156792,43156,25.6955,108,N,98.1,108906110,108906
108906111,148,127,118,8,880,156,156,50,525,.,.,.,15.506570757,46350,49.5285,108,N,96.9,108906111,108906
