,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
086901,1494,21.8,89,72,91,086901
086902,1416,21.6,93,84,98,086902
087901,-1,21.3,96,69,92,087901
088902,1391,20.3,94,78,90,088902
089901,1414,20.4,72,70,77,089901
089903,1453,20.3,91,72,80,089903
089905,1044,.,56,59,83,089905
090902,.,-1,100,70,100,090902
090903,-1,19.6,89,85,100,090903
090904,1463,19.7,72,63,92,090904
090905,.,.,.,.,.,090905
091901,1478,21.3,95,83,94,091901
091902,-1,22,88,71,93,091902
091903,1494,21.5,85,72,89,091903
091905,1458,22.4,97,90,96,091905
091906,1532,21.3,84,74,95,091906
091907,.,.,96,100,90,091907
091908,1474,22,100,93,95,091908
091909,1502,21.6,87,73,86,091909
091910,1531,21.5,93,84,94,091910
091913,1630,23.4,88,82,99,091913
091914,1470,20.8,95,67,89,091914
091917,1470,21.9,98,84,97,091917
091918,1523,23.8,71,70,89,091918
092801,-1,-1,88,75,89,092801
092901,1466,19.3,79,66,74,092901
092902,1510,19.5,79,70,93,092902
092903,1445,19.6,86,70,85,092903
092904,1468,22.5,80,68,89,092904
092906,1473,21.9,93,78,93,092906
092907,1580,22.9,92,81,99,092907
092908,1464,21.9,96,94,98,092908
093901,1391,19.8,89,90,96,093901
093903,1364,20.1,90,85,97,093903
093904,1352,19.3,62,62,88,093904
093905,1448,18,-1,71,100,093905
094901,1380,20.1,69,60,89,094901
094902,1462,21.8,85,81,95,094902
094903,1443,20.9,91,86,92,094903
094904,1409,20.6,88,76,90,094904
095901,1315,21,75,74,96,095901
095902,1324,18.1,100,91,90,095902
095903,-1,18.9,83,76,92,095903
095904,.,18.7,93,61,94,095904
095905,1571,19.6,84,75,91,095905
096904,-1,19.9,96,83,100,096904
096905,.,18.8,100,87,100,096905
097902,1506,23,82,87,93,097902
097903,1678,22,84,85,91,097903
098901,-1,22.5,91,76,84,098901
098903,.,.,100,.,.,098903
098904,-1,20.4,96,72,95,098904
099902,-1,19.2,88,79,88,099902
099903,.,18.3,91,96,94,099903
100903,1389,17.8,80,66,80,100903
