,gr6_ela_avg,gr7_ela_avg,gr7_writ_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
043905053,98,98,96,100,93,043905053,043905
043905054,96,94,94,97,90,043905054,043905
043907041,86,86,82,95,81,043907041,043907
043907043,94,93,92,98,95,043907043,043907
043907044,82,81,77,88,73,043907044,043907
043907045,91,93,84,97,92,043907045,043907
043907046,89,93,90,96,93,043907046,043907
043910042,84,86,81,98,84,043910042,043910
043910043,86,88,78,95,74,043910043,043910
043910044,94,96,95,98,92,043910044,043910
043910045,84,80,81,92,69,043910045,043910
043910046,81,77,76,95,57,043910046,043910
043910047,97,95,93,99,91,043910047,043910
043910048,91,91,89,97,85,043910048,043910
043910049,95,94,94,100,84,043910049,043910
043910050,97,96,95,99,90,043910050,043910
043910052,92,90,85,93,75,043910052,043910
043910053,98,98,99,99,96,043910053,043910
043910054,94,89,91,99,93,043910054,043910
043910056,93,90,90,97,79,043910056,043910
043917041,75,74,74,92,63,043917041,043917
043918041,71,81,80,94,91,043918041,043918
044902041,78,79,79,89,82,044902041,044902
045902041,65,65,69,86,80,045902041,045902
045903043,64,74,70,81,64,045903043,045903
046901042,89,87,82,93,75,046901042,046901
046902041,94,97,95,98,95,046902041,046902
046902042,77,80,79,90,80,046902042,046902
046902044,90,89,83,96,93,046902044,046902
046902045,95,91,86,93,87,046902045,046902
046902046,78,74,64,91,81,046902046,046902
047901041,73,81,80,88,65,047901041,047901
047902041,84,77,83,89,65,047902041,047902
049905042,90,87,87,90,77,049905042,049905
050910041,78,79,77,94,81,050910041,050910
050910042,83,87,79,88,73,050910042,050910
052901041,51,64,49,83,56,052901041,052901
053001041,76,89,96,87,57,053001041,053001
054903041,85,79,66,88,41,054903041,054903
056901042,76,68,63,82,48,056901042,056901
057803041,95,96,95,99,86,057803041,057803
057815041,53,43,37,62,22,057815041,057815
057836041,77,90,97,92,64,057836041,057836
057838002,73,77,74,89,81,057838002,057838
057842041,70,64,62,82,37,057842041,057842
057842102,60,57,50,84,28,057842102,057842
057843041,69,70,68,87,41,057843041,057843
057848002,85,87,86,98,70,057848002,057848
057848005,86,80,75,93,69,057848005,057848
057848008,94,96,96,97,90,057848008,057848
057903041,75,68,54,85,57,057903041,057903
057903042,76,75,65,85,71,057903042,057903
057903044,70,74,67,86,69,057903044,057903
