,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
015916110,107,98,119,132,659,5,58,49,44,468,.,.,.,9.8,50879,50,015,N,96.5,015916110,015916
015916112,98,101,105,147,668,2,52,29,43,565,.,.,.,9.2,50770,49.9,015,N,95.8,015916112,015916
015916113,120,102,128,220,702,25,92,30,48,480,.,.,.,11.6,51270,45.3,015,N,96.5,015916113,015916
015916114,124,135,113,178,772,33,52,26,56,629,.,.,.,9.2,50662,54.3,015,N,95.9,015916114,015916
015916116,99,108,97,106,622,15,150,45,46,316,.,.,.,9.1,50459,40.8,015,N,96.8,015916116,015916
015916118,110,125,105,101,758,27,176,67,67,280,.,.,.,8.3,50504,45.5,015,N,96.7,015916118,015916
015916119,103,84,123,181,650,15,106,40,47,332,.,.,.,8.3,51153,42,015,N,.,015916119,015916
018901101,68,64,78,12,490,5,274,11,43,312,.,.,.,11.8,41208,37.3,018,N,97.2,018901101,018901
018902101,23,43,36,5,234,2,135,11,24,172,.,.,.,11.4,42020,20.2,018,N,97.3,018902101,018902
019907105,55,51,55,188,401,0,46,2,23,366,.,.,.,8.9,43724,27.5,019,N,96.2,019907105,019907
019907109,101,102,91,129,694,9,291,33,33,542,.,.,.,11.7,45701,39.3,019,N,96.9,019907109,019907
019907111,59,62,62,211,408,4,143,12,29,323,.,.,.,10.4,44419,24.7,019,N,95.6,019907111,019907
020901104,75,71,74,27,527,2,243,32,67,340,.,.,.,10.3,54541,36.2,020,N,96.6,020901104,020901
020901105,114,107,104,58,664,25,344,37,66,325,.,.,.,8.4,53267,41.8,020,N,96.9,020901105,020901
020901108,93,122,105,21,693,1,312,83,74,422,.,.,.,10.3,54707,46.4,020,N,96.8,020901108,020901
020901112,131,101,111,202,720,249,143,68,48,121,.,.,.,6.9,52847,43.7,020,N,98.2,020901112,020901
020901113,155,123,145,251,876,52,123,68,49,486,.,.,.,8.6,54155,53.5,020,N,97.7,020901113,020901
021902103,133,140,122,85,844,0,252,60,36,617,.,.,.,11.6,47167,49.4,021,N,97.5,021902103,021902
021902105,72,68,58,113,533,1,35,9,30,495,.,.,.,11.4,47249,35.2,021,N,96.8,021902105,021902
021902106,66,63,54,95,473,1,38,15,27,440,.,.,.,8.7,45198,30.7,021,N,96.7,021902106,021902
021902109,81,79,74,85,582,1,12,16,48,557,.,.,.,6.3,44765,41.9,021,N,97.5,021902109,021902
021902115,86,108,117,131,729,0,41,28,48,711,.,.,.,6.9,45110,45.3,021,N,97.1,021902115,021902
026903101,29,42,32,68,243,0,101,5,19,178,.,.,.,12.1,40576,19,026,N,96.8,026903101,026903
027903102,60,68,57,3,383,0,237,4,47,254,.,.,.,16,47208,26.1,027,N,96,027903102,027903
027904101,86,105,76,34,572,5,336,34,37,329,.,.,.,14.2,48594,37,027,N,96.6,027904101,027904
027904103,96,82,97,9,586,0,151,28,61,443,.,.,.,12.3,47602,42.3,027,N,97.1,027904103,027904
027904104,31,42,33,4,221,2,162,21,10,100,.,.,.,11.2,46519,19,027,N,96.6,027904104,027904
028902105,88,87,89,19,624,3,122,29,46,461,.,.,.,11.6,48423,37.1,028,N,96.6,028902105,028902
029901102,154,127,139,17,957,20,242,48,39,611,.,.,.,11.1,45452,55.3,029,N,96.3,029901102,029901
029901105,8,8,12,0,80,0,46,5,1,42,.,.,.,12.9,46078,8,029,N,97.2,029901105,029901
031901101,95,80,94,2,657,0,2,36,31,652,.,.,.,12.5,48130,42.3,031,N,97.8,031901101,031901
031901102,91,76,89,0,647,0,3,69,48,624,.,.,.,14.6,49871,41.7,031,N,97.9,031901102,031901
031901103,45,50,50,0,380,0,2,34,37,364,.,.,.,12.6,48704,27.1,031,N,97.4,031901103,031901
031901105,92,111,109,7,773,0,4,20,69,730,.,.,.,11.6,47547,45.9,031,N,97,031901105,031901
031901106,88,115,122,0,648,0,0,59,62,623,.,.,.,16.6,51355,39.8,031,N,96.9,031901106,031901
031901109,42,38,40,0,280,0,0,33,22,278,.,.,.,17.4,51479,22.8,031,N,98.1,031901109,031901
031901110,107,145,114,0,834,1,0,61,61,809,.,.,.,15.8,50850,51.3,031,N,96.6,031901110,031901
031901112,89,70,85,0,553,0,1,76,37,547,.,.,.,12.7,47934,41.4,031,N,97.1,031901112,031901
031901115,64,55,68,0,568,0,0,66,56,541,.,.,.,14.9,50222,37.4,031,N,97.4,031901115,031901
031901117,72,74,72,0,535,0,5,39,46,490,.,.,.,11.9,49303,31,031,N,97.3,031901117,031901
031901123,148,137,153,0,924,2,5,100,89,848,.,.,.,14.5,49896,56.8,031,N,96.7,031901123,031901
031901130,131,133,124,0,899,0,0,30,77,820,.,.,.,15.5,50429,56.2,031,N,97.1,031901130,031901
031901131,54,61,89,1,454,0,3,37,50,425,.,.,.,12.4,49170,30,031,N,97.4,031901131,031901
031901132,78,78,91,0,508,1,14,70,54,428,.,.,.,13.8,50118,35.2,031,N,97.2,031901132,031901
031901133,81,100,101,1,805,0,4,47,70,771,.,.,.,12.4,48198,47.3,031,N,97.3,031901133,031901
031901137,101,101,152,0,779,15,9,69,76,654,.,.,.,14.4,49946,51.1,031,N,97.8,031901137,031901
031901141,93,102,76,0,672,0,4,52,54,641,.,.,.,10.9,46972,41.1,031,N,97.1,031901141,031901
031901142,79,87,97,1,579,2,7,33,64,484,.,.,.,11.9,47528,35.9,031,N,97.6,031901142,031901
031903105,55,58,64,1,401,0,29,22,21,372,.,.,.,12.9,50510,25.5,031,N,97.6,031903105,031903
031903107,64,67,88,2,463,0,13,30,43,394,.,.,.,11.4,49513,29.8,031,N,96.5,031903107,031903
031903108,44,48,43,1,307,0,7,27,16,301,.,.,.,12.6,49878,20.6,031,N,97.4,031903108,031903
031903109,103,103,114,2,670,1,39,38,56,599,.,.,.,14.5,51375,40,031,N,97,031903109,031903
031903110,64,65,57,1,430,1,58,20,34,398,.,.,.,9.5,48637,30.8,031,N,97.3,031903110,031903
031903111,102,118,123,4,709,1,78,52,17,356,.,.,.,12.8,50132,39,031,N,97.6,031903111,031903
031903112,58,63,63,0,415,0,12,18,32,382,.,.,.,12.6,50735,28,031,N,96.6,031903112,031903
031903114,45,55,58,0,380,0,8,20,32,361,.,.,.,12.9,50489,24.5,031,N,96.9,031903114,031903
031903116,66,74,65,0,449,0,18,16,28,367,.,.,.,11.7,50341,29.5,031,N,97.1,031903116,031903
031903120,108,105,96,4,683,5,48,33,58,509,.,.,.,14.4,51534,42.2,031,N,96.7,031903120,031903
031906101,85,94,96,0,636,0,35,40,42,519,.,.,.,13.1,47003,34.8,031,N,96.9,031906101,031906
031906102,54,51,69,1,389,5,11,39,19,289,.,.,.,17.7,50516,26,031,N,96.9,031906102,031906
031906103,79,71,80,1,496,0,9,17,19,455,.,.,.,10.3,45647,30,031,N,96.8,031906103,031906
031906104,84,83,77,1,557,0,14,25,37,455,.,.,.,13.1,46780,35,031,N,96.5,031906104,031906
031906109,86,107,104,2,627,4,9,48,21,380,.,.,.,9.7,45059,35,031,N,97,031906109,031906
031906110,76,67,66,0,444,0,9,27,38,350,.,.,.,11.5,46113,30.1,031,N,96.9,031906110,031906
031909101,90,86,94,5,597,5,35,24,36,500,.,.,.,12.6,49408,35.4,031,N,97.5,031909101,031909
031912101,87,75,67,1,541,0,2,4,18,462,.,.,.,12,45851,28.1,031,N,96.8,031912101,031912
031912108,61,53,53,0,363,0,6,1,18,327,.,.,.,19.9,51669,21.9,031,N,96.8,031912108,031912
031912109,44,59,66,0,395,0,9,1,26,380,.,.,.,11.4,45664,23,031,N,95.3,031912109,031912
031912112,78,94,90,0,544,0,3,7,29,499,.,.,.,12.8,47402,28.6,031,N,96.5,031912112,031912
031912116,64,69,60,0,430,0,3,6,30,391,.,.,.,13.6,46931,24.8,031,N,96.6,031912116,031912
031912117,77,81,91,0,504,0,3,5,24,406,.,.,.,9,44785,25.8,031,N,96.2,031912117,031912
031913101,44,52,38,0,357,0,5,14,24,342,.,.,.,8.4,43089,22.8,031,N,96.6,031913101,031913
034909101,22,15,24,8,142,2,125,0,9,93,.,.,.,9.9,39025,7.9,034,N,95.4,034909101,034909
035902101,19,18,18,4,127,0,3,0,8,118,.,.,.,10,38125,9.3,035,N,97,035902101,035902
039902101,64,67,91,4,480,1,418,24,60,252,.,.,.,16.9,43302,34,039,N,96.9,039902101,039902
040902101,31,22,26,6,182,0,92,3,16,93,.,.,.,15.7,44320,18,040,N,96.7,040902101,040902
042901102,55,57,71,11,467,5,316,2,51,320,.,.,.,12.1,38123,35.3,042,N,96.4,042901102,042901
043910118,65,65,62,40,427,98,203,34,62,115,.,.,.,11.1,53743,37.8,043,N,97.5,043910118,043910
043911103,102,90,124,24,683,4,326,21,58,478,.,.,.,10.9,48393,40,043,N,96.6,043911103,043911
043911104,86,74,102,19,549,1,233,14,45,365,.,.,.,8.8,47940,36.4,043,N,96.8,043911104,043911
045902101,123,109,106,83,767,4,286,43,72,546,.,.,.,12.6,43146,50.7,045,N,96.8,045902101,045902
046901102,44,44,35,2,349,2,93,8,18,228,.,.,.,14.2,51511,21.6,046,N,96.7,046901102,046901
046901109,122,111,111,7,725,3,247,36,41,376,.,.,.,10.8,49277,43.2,046,N,97.3,046901109,046901
046902104,66,66,74,11,452,5,151,27,41,302,.,.,.,11.1,50084,29,046,N,96.2,046902104,046902
046902105,61,83,72,7,451,2,309,24,35,283,.,.,.,13,51146,29.5,046,N,95.5,046902105,046902
046902107,109,95,106,2,595,9,354,93,32,160,.,.,.,12.4,51434,38.9,046,N,97,046902107,046902
046902117,103,79,88,14,657,1,200,36,49,481,.,.,.,10,50129,46.5,046,N,96.2,046902117,046902
046902119,109,109,93,7,715,5,304,75,52,365,.,.,.,11.7,51295,42.4,046,N,96.4,046902119,046902
046902122,99,101,107,27,706,20,265,57,47,231,.,.,.,13.7,51425,40.9,046,N,97,046902122,046902
047902101,57,50,49,3,326,3,199,10,36,198,.,.,.,10.9,41431,25.4,047,N,96.5,047902101,047902
049905101,81,82,87,4,527,2,434,11,42,268,.,.,.,16.7,46173,32.7,049,N,97.2,049905101,049905
054901101,29,30,26,9,181,0,37,5,19,136,.,.,.,8.5,38125,17.8,054,N,95.8,054901101,054901
057815101,167,174,169,515,1378,1,14,12,37,1346,.,.,.,3.3,50093,73.2,057,Y,96.3,057815101,057815
