,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
243905002,363,376,381,362,109,1482,69,884,118,145,453,16.8,21.1,17.2,13.7,53511,100.8,243,N,96.7,243905002,243905
243905004,299,315,306,276,123,1196,14,409,47,144,725,19.5,22.1,22.4,10.1,51517,81.9,243,N,95,243905004,243905
243905006,6,4,23,46,9,79,0,36,0,20,47,4.3,4,3.4,11.6,50834,10.5,243,N,81.2,243905006,243905
244903001,145,146,104,121,44,516,23,237,30,40,223,12.9,17.4,15.8,15.1,49907,44.9,244,N,94.6,244903001,244903
245901001,31,22,30,24,0,107,0,2,11,8,88,10.5,11.3,12.6,19.7,49603,11.5,245,N,96.1,245901001,245901
245902001,127,103,116,87,1,433,1,9,31,46,323,17.5,14.8,20.1,8.5,44795,37.9,245,N,93.1,245902001,245902
245903001,165,128,122,108,1,523,0,4,30,34,434,21,20.7,20.9,14.8,49346,39.8,245,N,92.6,245903001,245903
245903004,16,21,20,19,0,76,0,1,0,5,69,4.2,3.8,2.8,14.7,51264,8.4,245,N,.,245903004,245903
245904002,18,20,25,22,0,85,0,12,3,9,54,16.5,16.8,16.8,9,47142,8.5,245,N,93.7,245904002,245904
246902001,85,62,91,69,5,307,5,171,19,29,176,14.3,14.9,14.7,11.8,47485,27.5,246,N,94.8,246902001,246902
246904001,454,486,477,441,60,1858,18,1227,203,127,422,21,23.7,24,14.9,51037,119.8,246,N,95.3,246904001,246904
246904002,6,17,34,22,3,79,0,44,0,5,47,1.8,4.7,6.9,13.7,49794,10.3,246,N,87.9,246904002,246904
246904004,411,370,378,348,69,1507,18,600,116,126,724,16.6,21.6,22.9,12.4,49224,107.7,246,N,95.4,246904004,246904
246904197,4,0,0,1,0,5,0,2,0,1,4,1.3,1.3,1.5,17.1,53723,7.2,246,N,90.4,246904197,246904
