,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
031901048,54,55,48,61,58,84,77,72,031901048,031901
031901051,70,60,57,65,71,94,87,77,031901051,031901
031901053,74,66,72,79,79,89,92,70,031901053,031901
031901054,90,73,82,82,82,95,96,82,031901054,031901
031901055,78,71,78,75,75,97,91,85,031901055,031901
031903041,83,65,70,71,69,81,79,66,031903041,031903
031903042,70,61,75,71,63,86,84,81,031903042,031903
031903043,84,68,68,67,60,87,81,63,031903043,031903
031903044,84,62,76,70,69,90,79,71,031903044,031903
031903045,82,72,72,73,67,81,89,71,031903045,031903
031906041,90,72,78,86,85,97,91,87,031906041,031906
031906042,82,73,77,78,75,95,91,89,031906042,031906
031906105,89,88,75,84,78,87,89,87,031906105,031906
031909041,67,64,58,69,60,77,81,70,031909041,031909
031911041,68,63,46,54,57,78,78,76,031911041,031911
031912041,57,58,49,61,61,70,79,52,031912041,031912
031912042,54,51,49,57,55,78,74,55,031912042,031912
031912043,50,57,57,56,61,87,82,70,031912043,031912
031914041,71,56,68,67,67,73,75,45,031914041,031914
033902041,96,84,95,88,88,93,98,88,033902041,033902
034903041,69,61,74,76,69,94,92,76,034903041,034903
034905041,65,69,68,74,74,89,94,87,034905041,034905
034906041,83,83,54,86,72,88,85,76,034906041,034906
036901041,81,74,92,80,82,97,90,81,036901041,036901
036902042,87,85,83,84,82,99,96,91,036902042,036902
036902043,91,81,93,88,84,99,97,94,036902043,036902
037907041,81,64,79,71,67,90,88,75,037907041,037907
038901041,89,84,77,84,78,94,88,84,038901041,038901
039902041,92,81,76,75,68,88,95,84,039902041,039902
043902041,85,66,61,69,70,81,86,80,043902041,043902
043904041,87,79,91,87,85,89,94,91,043904041,043904
043905041,83,76,84,76,74,92,88,87,043905041,043905
043905043,86,85,91,89,93,93,94,93,043905043,043905
043905044,98,93,97,98,95,100,99,96,043905044,043905
043905045,96,91,93,86,88,99,98,97,043905045,043905
043905046,97,93,98,96,97,98,99,98,043905046,043905
043905047,93,86,95,89,90,97,95,94,043905047,043905
043905048,97,93,99,97,95,99,98,98,043905048,043905
043905049,96,90,92,90,89,99,98,97,043905049,043905
043905050,93,88,90,85,86,92,96,93,043905050,043905
043905051,96,90,94,95,91,92,96,84,043905051,043905
043905052,96,92,91,90,90,96,97,93,043905052,043905
043905053,94,87,93,94,91,92,95,93,043905053,043905
043905054,97,94,97,95,94,97,97,96,043905054,043905
043905055,93,92,90,93,91,96,98,92,043905055,043905
043905056,98,96,98,97,97,98,100,97,043905056,043905
043905057,94,89,95,95,95,93,98,95,043905057,043905
043907041,86,78,88,81,80,86,90,88,043907041,043907
043907043,95,85,94,88,89,95,97,94,043907043,043907
043907044,73,72,78,74,70,84,86,79,043907044,043907
043907045,88,82,87,84,83,87,91,89,043907045,043907
043907046,92,85,91,89,86,95,94,94,043907046,043907
043908101,93,90,86,89,86,98,97,98,043908101,043908
043910042,76,69,75,70,66,95,86,69,043910042,043910
043910043,79,76,74,79,72,89,93,80,043910043,043910
043910044,93,86,85,81,80,89,94,90,043910044,043910
043910045,82,64,86,72,68,88,85,77,043910045,043910
043910046,79,72,74,68,65,87,84,73,043910046,043910
