,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
019901,-1,20.1,92,71,91,019901
019902,.,19.3,79,59,92,019902
019903,-1,20.1,53,60,95,019903
019905,-1,20,76,61,91,019905
019906,-1,22,77,67,94,019906
019907,1555,20.4,77,68,87,019907
019908,-1,18.4,70,56,75,019908
019909,.,19.1,76,71,77,019909
019910,.,.,.,.,.,019910
019911,.,.,100,.,.,019911
019912,-1,21.5,88,69,94,019912
019913,.,.,.,.,.,019913
019914,.,.,.,.,.,019914
020901,1413,20.8,80,61,90,020901
020902,1375,20.3,71,67,92,020902
020904,1392,21.4,81,68,96,020904
020905,1442,22.5,61,53,85,020905
020906,1435,21.9,88,74,83,020906
020907,1326,19.7,77,61,83,020907
020908,1557,22.8,88,78,95,020908
020910,.,.,83,78,-1,020910
021803,.,.,.,.,.,021803
021805,.,.,.,.,.,021805
021901,1584,23.7,88,76,92,021901
021902,1370,20.6,61,49,89,021902
022004,.,-1,75,57,86,022004
022901,1480,19.5,80,85,95,022901
022902,-1,-1,-1,-1,-1,022902
022903,.,.,-1,-1,.,022903
023902,-1,21,88,95,100,023902
024901,-1,16.9,78,47,76,024901
025901,-1,19.8,87,79,88,025901
025902,1360,20,75,68,87,025902
025904,-1,20.1,74,70,94,025904
025905,-1,20.2,86,79,76,025905
025906,-1,19.5,96,77,83,025906
025908,-1,-1,92,80,100,025908
025909,1560,23.3,94,84,95,025909
026901,1444,21.8,84,73,91,026901
026902,1236,-1,64,60,84,026902
026903,1532,23,85,55,82,026903
027903,1342,19.8,63,37,78,027903
027904,1452,21.5,76,65,88,027904
028902,1265,19.3,77,58,85,028902
028903,1313,18.5,57,52,79,028903
028906,1329,-1,68,47,-1,028906
029901,1458,22,86,55,91,029901
030901,-1,22.8,76,70,95,030901
030902,1401,20.4,89,74,91,030902
030903,.,20.1,70,62,83,030903
030906,-1,20.9,88,74,96,030906
031901,1248,18,85,61,91,031901
031903,1337,18.4,79,62,90,031903
031905,1361,17.7,79,58,94,031905
031906,1312,18.9,88,73,92,031906
031909,1288,19.9,80,57,91,031909
031911,1239,17.4,62,58,81,031911
031912,1257,17.4,74,55,87,031912
031913,1094,15.3,44,48,89,031913
031914,.,15.9,78,65,86,031914
031916,1550,22.1,91,82,97,031916
032902,1359,19,87,70,76,032902
033901,.,18.8,90,82,100,033901
033902,.,20.6,91,76,98,033902
033904,-1,19.9,97,81,95,033904
034901,-1,19.6,67,54,87,034901
034902,-1,18.7,60,83,75,034902
034903,-1,20.2,87,78,91,034903
034905,-1,20.6,77,73,89,034905
034906,.,20.9,74,56,81,034906
034907,1586,19.9,93,78,99,034907
034909,.,19,79,62,92,034909
035901,-1,17.9,74,56,78,035901
035902,.,16.4,74,48,68,035902
035903,.,23.3,93,92,86,035903
036901,1323,19,80,63,97,036901
036902,1524,22.8,96,85,96,036902
036903,1340,18.8,92,67,92,036903
037901,1328,14.9,67,46,87,037901
037904,1543,19.6,73,59,83,037904
037907,1513,21.5,83,67,91,037907
037908,-1,18.9,76,65,83,037908
037909,1245,.,65,70,91,037909
038901,-1,20.5,65,68,81,038901
039902,1474,21,79,68,92,039902
039903,-1,20.7,84,63,95,039903
039904,1369,-1,100,80,100,039904
039905,.,-1,83,60,80,039905
040901,-1,17.9,54,56,69,040901
040902,1421,21,86,65,96,040902
041901,.,19.5,96,77,96,041901
041902,-1,20.2,82,68,95,041902
042901,-1,18.8,75,71,91,042901
042903,-1,18.3,-1,-1,-1,042903
042905,-1,20,86,88,91,042905
043801,.,-1,95,90,100,043801
043901,1630,24.3,94,88,97,043901
043902,1454,22.3,83,75,90,043902
043903,1589,21.7,89,84,95,043903
043904,1390,20.9,89,74,94,043904
043905,1602,24.1,95,90,99,043905
043907,1568,23.4,88,80,97,043907
043908,1570,22.4,92,88,92,043908
043910,1695,25.8,86,84,96,043910
043911,1387,19.3,77,69,88,043911
043912,1561,24,92,89,97,043912
043914,1467,21.9,88,79,95,043914
043917,1570,22.4,76,54,86,043917
043918,1371,20.3,83,75,93,043918
043919,1657,25.3,98,96,99,043919
044902,-1,20.6,82,73,88,044902
045902,1366,20,72,61,89,045902
045903,1383,17.3,82,65,83,045903
045905,1398,22.5,81,83,96,045905
046802,.,.,-1,-1,-1,046802
046901,1502,22.5,80,78,94,046901
046902,1483,22.4,86,77,93,046902
047901,1397,19.9,92,73,92,047901
047902,1457,19.9,76,61,97,047902
047903,1288,16.9,60,40,-1,047903
047905,-1,.,69,43,-1,047905
048901,.,18.8,78,74,100,048901
048903,-1,19.5,69,54,92,048903
049901,1380,18.9,76,57,92,049901
049902,1572,25.4,94,82,88,049902
049903,1422,23.9,70,57,93,049903
049905,1398,19.3,86,70,100,049905
049906,1518,20.7,95,81,97,049906
049907,1519,23,93,92,100,049907
049908,.,.,.,.,.,049908
049909,.,.,.,.,.,049909
050901,.,20.2,87,74,88,050901
050902,1517,20.7,81,70,90,050902
050904,1424,-1,78,79,88,050904
050909,-1,-1,94,76,85,050909
050910,1407,19.1,76,67,92,050910
051901,.,17.4,81,65,-1,051901
052901,-1,17.7,69,53,89,052901
053001,1330,20.1,74,55,86,053001
054901,.,17.9,73,52,96,054901
054902,.,14.8,59,66,74,054902
054903,1333,18.7,66,65,91,054903
055901,.,18.2,61,53,77,055901
056901,1518,19.9,75,61,90,056901
056902,.,16.8,55,67,80,056902
057802,1204,-1,70,65,81,057802
057803,1785,25.8,77,71,97,057803
057804,1094,15.1,60,40,77,057804
057805,.,.,.,.,.,057805
057806,1217,19.6,65,40,91,057806
057807,1291,18.5,81,71,93,057807
057808,1285,-1,67,66,100,057808
057809,.,.,.,.,.,057809
057810,.,.,.,.,.,057810
057811,.,.,.,.,.,057811
057813,.,.,100,.,.,057813
057814,.,-1,-1,24,-1,057814
057816,.,.,100,92,.,057816
057817,1130,.,42,47,77,057817
057819,.,.,75,80,-1,057819
057827,.,.,.,.,.,057827
057828,1351,22.4,23,34,72,057828
057829,1195,-1,78,50,93,057829
057830,.,.,71,56,89,057830
057831,1076,16.4,66,57,-1,057831
057832,-1,-1,62,42,52,057832
057833,.,.,.,.,.,057833
057834,1332,-1,39,34,68,057834
057835,.,.,.,.,.,057835
057836,.,.,.,.,.,057836
057837,.,.,94,.,.,057837
057839,.,.,98,.,.,057839
057840,1580,23.4,.,-1,99,057840
057841,.,.,.,.,.,057841
057844,.,.,76,64,.,057844
057845,.,.,89,74,100,057845
057846,.,.,76,56,.,057846
057847,.,.,71,71,.,057847
057848,-1,.,79,78,94,057848
057849,.,.,.,.,.,057849
057903,1452,21.1,78,66,94,057903
057904,1332,18.6,72,62,94,057904
057905,1186,16.1,73,57,92,057905
057906,1202,16.6,64,51,83,057906
057907,1300,18.3,63,58,91,057907
057909,1411,20.3,76,65,91,057909
057910,1219,18.9,79,62,94,057910
057911,1789,27.4,98,96,100,057911
057912,1237,16.8,78,64,92,057912
057913,1174,16.8,61,53,87,057913
057914,1330,18.7,75,63,89,057914
057916,1524,20.1,82,71,94,057916
057919,1552,23.6,94,91,93,057919
057922,1709,23.6,91,87,98,057922
058902,.,21,100,67,92,058902
058905,.,22.8,100,93,100,058905
058906,1250,17.8,84,52,78,058906
058909,.,-1,84,65,.,058909
059901,1637,19.1,73,49,84,059901
059902,.,.,.,.,.,059902
060902,1382,19.9,80,68,96,060902
060914,.,17.6,100,47,44,060914
061802,-1,.,.,.,.,061802
061804,.,.,100,.,.,061804
061901,1474,21.5,80,71,91,061901
061902,1609,23.9,91,82,96,061902
061903,1444,21.9,84,76,96,061903
061905,1435,20.9,86,68,97,061905
061906,1535,21.7,86,78,91,061906
061907,1473,23.2,81,67,98,061907
061908,1427,20,73,66,89,061908
061910,1636,24.5,93,91,97,061910
061911,1524,20.5,86,80,95,061911
061912,1474,22.5,82,72,95,061912
061914,1372,20.2,77,65,92,061914
062901,1317,19.5,63,60,76,062901
062902,-1,-1,45,-1,91,062902
062903,1594,20.4,79,61,82,062903
062904,1258,19.6,65,63,98,062904
062905,.,.,.,.,.,062905
062906,.,.,-1,.,.,062906
063903,-1,20.5,71,75,97,063903
063906,.,-1,100,67,100,063906
064903,1219,17.2,66,55,91,064903
065901,.,18.8,82,64,97,065901
065902,.,-1,92,93,100,065902
066005,.,.,.,.,.,066005
066901,.,18.1,64,41,83,066901
066902,1253,17.2,72,43,55,066902
066903,.,17.9,51,46,92,066903
067902,1508,22.3,84,62,88,067902
067903,1397,20.8,78,58,90,067903
067904,1244,-1,80,41,100,067904
067907,1426,20,73,33,74,067907
067908,-1,24.5,88,88,100,067908
068802,.,.,.,.,.,068802
068803,.,.,.,.,.,068803
068901,1340,19.6,61,53,88,068901
069901,.,18,63,64,80,069901
069902,.,19.3,85,68,96,069902
070801,-1,-1,60,39,78,070801
070901,1401,-1,87,63,82,070901
070903,1401,19.2,74,59,84,070903
070905,1312,18.5,63,43,90,070905
070907,-1,19.3,78,67,97,070907
070908,1524,22.3,84,71,94,070908
070909,.,17.4,86,82,87,070909
070910,1335,21.3,76,57,95,070910
070911,1381,20,85,68,91,070911
070912,1476,22.6,81,73,94,070912
070915,1508,23.9,83,74,88,070915
071801,1405,18.5,94,65,95,071801
071803,997,-1,71,58,97,071803
071804,1273,-1,77,56,79,071804
071806,1438,22.3,88,74,97,071806
071807,.,.,.,.,.,071807
071809,.,.,.,.,.,071809
071810,.,.,.,.,.,071810
071901,1163,17,78,65,92,071901
071902,1259,19.3,74,59,86,071902
071903,1178,16.4,92,61,91,071903
071904,1183,16,90,63,91,071904
071905,1202,19.3,89,68,93,071905
071906,1463,17.5,83,71,100,071906
071907,1294,18.9,79,62,93,071907
071908,1170,-1,62,51,91,071908
071909,1310,18.7,79,66,93,071909
072801,1326,17.7,62,60,86,072801
072802,-1,19.8,-1,32,86,072802
072901,.,.,.,.,.,072901
072902,1385,21.4,76,58,97,072902
072903,1504,22.8,89,73,93,072903
072904,.,.,-1,.,.,072904
072908,-1,19.1,100,89,100,072908
072909,1339,16.9,100,78,100,072909
072910,.,.,.,.,.,072910
073901,-1,16.9,60,53,86,073901
073903,1227,19.1,58,37,84,073903
073904,.,.,100,.,.,073904
073905,1233,18.5,78,59,93,073905
074903,1413,21.6,65,58,88,074903
074904,.,22.3,94,77,96,074904
074905,-1,19.3,62,67,79,074905
074907,-1,19.8,75,61,98,074907
074909,1402,20.2,83,72,85,074909
074911,1521,20.8,92,88,89,074911
074912,1643,24.3,91,74,90,074912
074917,-1,18.5,93,77,97,074917
075901,1429,20.2,93,75,98,075901
075902,1488,23,90,68,89,075902
075903,1460,19.3,79,62,91,075903
075906,1563,-1,91,85,100,075906
075908,1484,23.5,83,74,100,075908
076903,-1,19.4,88,78,100,076903
076904,-1,19.8,86,87,100,076904
077901,-1,17.1,86,49,93,077901
077902,-1,19.4,63,52,93,077902
078901,-1,18.5,61,53,58,078901
079901,1459,21.6,79,70,95,079901
079906,1483,22,87,73,96,079906
079907,1517,22.3,83,74,94,079907
079910,1268,19,76,68,87,079910
080901,-1,21.1,85,79,87,080901
081902,1422,20.1,94,91,97,081902
081904,1353,19.2,79,66,92,081904
081905,-1,19,53,61,91,081905
081906,.,.,100,.,.,081906
082902,1274,16.4,67,52,79,082902
082903,1335,16.9,68,50,86,082903
083901,-1,18,72,52,74,083901
083902,.,18.6,100,78,82,083902
083903,1376,20.1,73,59,91,083903
084802,.,.,87,70,93,084802
084804,.,.,100,.,.,084804
084805,1191,.,59,50,78,084805
084901,1377,20,79,60,92,084901
084902,1342,20.2,72,59,85,084902
084903,1183,.,36,57,84,084903
084904,1179,15.8,57,46,77,084904
084906,1315,17.7,66,52,87,084906
084908,1185,16.2,58,53,66,084908
084909,1404,21.6,75,63,87,084909
084910,1576,23.5,87,80,96,084910
084911,1626,24.6,95,86,99,084911
085902,.,19.8,60,38,90,085902
085903,.,19.3,71,35,83,085903
086024,.,.,.,.,.,086024
086901,1427,20.7,74,69,86,086901
086902,1442,20.4,80,76,90,086902
087901,-1,21.3,96,66,100,087901
088902,1360,19.2,80,55,95,088902
089901,1404,19.2,67,57,84,089901
089903,1390,20.2,80,67,88,089903
089905,1093,.,38,41,86,089905
090902,.,-1,71,59,100,090902
090903,.,21,88,92,100,090903
090904,1388,20.5,70,53,90,090904
090905,.,.,.,.,.,090905
091901,1409,20.7,83,77,98,091901
091902,.,21.5,87,71,86,091902
091903,1533,22.2,75,64,94,091903
091905,1518,22.4,88,75,96,091905
091906,1531,20.5,78,64,93,091906
091907,.,.,72,67,100,091907
091908,1556,22.1,95,92,94,091908
091909,1434,22.5,71,68,93,091909
091910,1453,22.1,89,79,93,091910
091913,1557,22.8,89,84,96,091913
091914,1430,21.5,85,80,83,091914
091917,1524,22.3,88,88,90,091917
091918,1439,21,74,67,94,091918
092801,-1,-1,74,54,82,092801
092901,1464,18.7,80,61,93,092901
092902,1401,19.3,81,63,92,092902
092903,1384,19.3,90,69,93,092903
092904,1455,21.1,79,65,88,092904
092906,1421,20.9,89,75,90,092906
092907,1590,22.8,94,78,97,092907
092908,1436,21.9,86,88,99,092908
093901,1442,20.5,78,68,100,093901
093903,1418,21.8,92,85,97,093903
093904,1341,20.7,66,58,89,093904
093905,1431,-1,73,80,100,093905
094901,1382,19.3,60,50,89,094901
094902,1478,22.2,85,67,95,094902
094903,1433,20.9,81,74,93,094903
094904,1386,20.8,82,68,89,094904
095901,-1,21.4,95,66,87,095901
095902,.,21.1,69,69,100,095902
095903,-1,18.6,83,80,96,095903
095904,-1,18.3,89,46,-1,095904
095905,1451,19.6,79,60,85,095905
096904,.,19.2,82,62,76,096904
096905,.,20.3,92,85,100,096905
097902,1474,23.1,82,71,91,097902
097903,1438,21.7,74,60,88,097903
098901,-1,21,83,67,81,098901
098903,.,.,-1,.,.,098903
098904,-1,19.9,90,82,98,098904
099902,-1,18.8,75,41,100,099902
099903,-1,18.5,85,72,92,099903
100903,1344,19.9,71,58,87,100903
100904,1397,19.2,79,61,92,100904
100905,1498,23.7,91,72,97,100905
100907,1444,22.4,83,69,93,100907
100908,1300,18,74,59,95,100908
101802,.,.,100,.,.,101802
101803,.,.,93,96,.,101803
101804,1143,14.8,39,35,72,101804
101806,1122,-1,80,66,89,101806
101807,.,.,.,.,.,101807
101810,.,.,.,.,.,101810
101811,.,.,-1,-1,.,101811
101813,1275,18.9,77,74,93,101813
101814,.,.,.,.,.,101814
101815,.,.,.,.,.,101815
101819,.,.,.,.,.,101819
101821,1151,14.4,59,51,77,101821
101828,1215,.,96,87,100,101828
101829,.,.,.,.,.,101829
101833,.,.,.,.,.,101833
101837,1349,-1,90,75,100,101837
101838,1291,-1,75,49,77,101838
101840,.,.,.,.,.,101840
101842,.,.,-1,-1,-1,101842
101845,1406,18.8,78,80,97,101845
101846,1383,20.2,91,72,97,101846
101847,.,.,.,.,.,101847
101849,.,.,.,.,.,101849
101850,.,.,.,.,.,101850
101853,.,.,.,.,.,101853
101855,.,.,.,.,.,101855
101856,.,.,.,.,.,101856
101858,1512,24,94,80,99,101858
101859,.,.,69,.,.,101859
101861,.,.,.,.,.,101861
101862,1542,21.6,95,87,99,101862
101864,.,.,.,.,.,101864
101865,1124,-1,75,53,95,101865
101866,.,.,20,21,50,101866
101867,.,.,31,39,-1,101867
101868,1173,18.3,31,33,47,101868
101869,.,.,71,51,81,101869
101870,.,.,.,.,.,101870
101902,1171,18.2,70,53,88,101902
101903,1300,18.8,72,59,88,101903
101905,1315,17.7,82,64,90,101905
101906,1394,18.6,76,61,78,101906
101907,1491,22.1,89,77,96,101907
101908,1435,20.9,88,72,95,101908
101910,1295,17.8,82,63,91,101910
101911,1267,19.7,75,63,88,101911
101912,1251,20.8,69,56,87,101912
101913,1470,22.5,84,76,95,101913
101914,1586,24.1,89,84,97,101914
101915,1498,22.7,82,71,94,101915
101916,1406,19.2,78,63,91,101916
101917,1316,19.2,75,56,90,101917
101919,1163,18,56,54,86,101919
101920,1477,23,81,66,93,101920
101921,1515,22.3,90,82,97,101921
101924,1223,17.4,66,56,78,101924
101925,1434,21.8,88,73,93,101925
102901,.,-1,-1,-1,.,102901
102902,1305,18.3,64,48,73,102902
102903,-1,19,67,60,92,102903
102904,1426,21.8,90,73,94,102904
102905,-1,20.8,83,82,85,102905
102906,-1,19.4,93,79,80,102906
103901,.,24.2,93,68,50,103901
103902,-1,23.6,95,89,100,103902
104901,-1,21.9,86,62,98,104901
104903,.,-1,91,82,-1,104903
104907,-1,17.8,-1,-1,75,104907
105801,1462,22.4,61,67,97,105801
105802,.,.,.,.,.,105802
105803,.,.,-1,-1,-1,105803
105902,1382,19.4,61,57,88,105902
105904,1629,24.6,92,86,95,105904
105905,1601,23.5,80,75,93,105905
105906,1426,20.3,70,62,89,105906
106901,-1,19.7,97,67,98,106901
107901,1459,18.9,73,63,75,107901
107902,1402,21,81,75,85,107902
107904,1441,20.6,88,65,75,107904
107905,1451,-1,83,67,86,107905
107906,1409,19.8,79,65,87,107906
107907,-1,-1,79,44,64,107907
107908,.,.,.,.,.,107908
107910,1367,19.8,72,58,83,107910
108802,.,.,.,.,.,108802
108804,.,15.2,47,37,74,108804
108807,1333,19.6,88,81,98,108807
108808,1472,21,98,84,100,108808
108809,.,.,.,.,.,108809
108902,1388,17.1,70,50,92,108902
108903,1246,16.9,71,57,90,108903
108904,1415,18,77,62,84,108904
108905,1227,16.7,72,49,85,108905
108906,1389,19,78,64,92,108906
108907,1342,17.6,77,56,86,108907
108908,1342,17.8,79,57,88,108908
108909,1235,17,76,50,83,108909
108910,-1,17.7,62,43,68,108910
108911,1394,19.5,90,78,93,108911
108912,1295,16.9,74,49,85,108912
108913,1460,17.7,77,56,81,108913
108914,1362,17,56,53,83,108914
108915,1300,15.9,59,47,87,108915
108916,-1,18,86,61,89,108916
109901,1555,20.7,88,78,88,109901
109902,-1,21.2,78,64,94,109902
109903,.,18.3,83,70,87,109903
109904,1336,22,81,66,86,109904
109905,1448,-1,78,56,81,109905
109907,1324,18.7,84,74,84,109907
109908,.,.,.,.,.,109908
109910,-1,20.2,74,50,83,109910
109911,1516,22.6,79,74,84,109911
109912,1315,.,100,90,100,109912
109913,1424,20.8,100,71,96,109913
109914,1346,-1,100,68,93,109914
110901,-1,18,67,50,80,110901
110902,1378,19.9,74,70,78,110902
110905,1401,19.6,67,58,90,110905
110906,1459,21.3,68,61,100,110906
110907,1512,22.6,94,93,94,110907
110908,-1,21.4,100,-1,100,110908
111901,1461,21.9,87,71,90,111901
111902,-1,-1,79,83,83,111902
111903,1508,22,86,79,95,111903
112901,1533,21.3,86,69,94,112901
112905,1255,18,65,85,97,112905
112906,.,19,83,75,73,112906
112907,-1,19.3,82,70,90,112907
112908,.,17.8,72,68,85,112908
112909,.,19.8,94,81,100,112909
112910,-1,-1,58,32,92,112910
113901,1226,-1,85,63,80,113901
113902,1180,17.7,85,76,93,113902
113903,1335,19.8,88,68,92,113903
113905,1478,22,80,78,94,113905
113906,1310,-1,75,76,81,113906
114901,-1,18.9,60,49,77,114901
114902,1540,22.8,61,60,90,114902
114904,-1,21.5,92,81,87,114904
115901,1208,.,79,49,93,115901
115902,-1,19.5,73,69,92,115902
115903,.,15.8,50,50,-1,115903
116901,1505,21.8,88,68,95,116901
116902,-1,22.1,77,67,85,116902
116903,1401,19.8,62,60,87,116903
116905,1405,20.3,77,63,91,116905
116906,1423,22.1,77,61,90,116906
116908,1418,20.2,48,49,89,116908
116909,.,20.9,89,65,94,116909
116910,1354,20.6,57,43,96,116910
116915,1483,19.8,81,71,97,116915
116916,1371,21.6,83,69,82,116916
117901,1450,18.8,81,69,90,117901
117903,-1,17.5,66,69,90,117903
117904,-1,20.9,80,57,96,117904
117907,.,.,.,.,-1,117907
118902,-1,22.6,89,55,83,118902
119901,1297,-1,92,59,79,119901
119902,1387,22,81,65,93,119902
119903,1508,21.5,80,76,97,119903
120901,1369,19.4,73,64,60,120901
120902,-1,19.6,72,58,69,120902
120905,1528,21.7,93,81,86,120905
121902,1463,20.3,89,68,96,121902
121903,1445,20,72,63,99,121903
121904,1408,19.5,66,55,73,121904
121905,-1,20.3,79,68,88,121905
121906,1294,-1,87,75,73,121906
122901,1482,21.7,82,37,79,122901
122902,-1,-1,-1,-1,-1,122902
123803,-1,.,91,46,100,123803
123805,.,.,.,.,.,123805
123807,1179,.,83,73,96,123807
123905,1392,20.4,89,76,94,123905
123907,1229,16.4,67,47,81,123907
123908,1435,21.6,78,68,93,123908
123910,1317,19.4,62,54,86,123910
123913,1374,-1,98,91,97,123913
123914,1375,20.7,91,75,92,123914
124901,.,18.5,73,58,77,124901
125901,1439,18.2,66,49,74,125901
125902,-1,17.7,62,48,94,125902
125903,-1,20.1,86,64,90,125903
125905,.,17.1,66,42,72,125905
125906,.,.,.,.,.,125906
126901,1347,19.4,73,58,74,126901
126902,1452,22.1,82,74,95,126902
126903,1389,20.5,73,56,85,126903
126904,1447,21.1,94,84,97,126904
126905,1454,21.5,93,66,97,126905
126906,1420,21.6,87,76,92,126906
126907,1392,20.7,76,63,91,126907
126908,1316,19.2,79,61,93,126908
126911,1442,22.2,70,63,92,126911
127901,-1,21.2,82,73,95,127901
127903,-1,18.4,83,63,91,127903
127904,1370,19.9,82,80,98,127904
127905,-1,18.1,67,65,-1,127905
127906,-1,20,92,57,95,127906
128901,1297,18,63,64,77,128901
128902,-1,18.4,57,41,75,128902
128903,-1,16.2,68,70,78,128903
128904,1451,21.8,93,91,94,128904
129901,1405,20.8,85,68,91,129901
129902,1412,20.4,88,79,96,129902
129903,1372,18.8,75,70,86,129903
129904,1360,20.7,66,63,96,129904
129905,1438,21.4,84,70,88,129905
129906,1315,18.3,72,63,90,129906
129910,1405,18,84,74,95,129910
130801,-1,.,-1,-1,100,130801
130901,1545,23.6,93,87,97,130901
130902,1434,20.7,63,53,86,130902
131001,.,.,.,.,.,131001
132902,.,21,100,100,.,132902
133901,1341,19.2,85,86,97,133901
133902,.,.,-1,.,.,133902
133903,1495,23.7,87,75,92,133903
133904,1292,18.9,70,67,81,133904
133905,.,.,.,.,.,133905
134901,1270,19.5,70,53,89,134901
135001,.,19.3,100,100,100,135001
136901,1367,19.6,89,80,91,136901
137901,1303,17.1,50,49,48,137901
137902,.,.,100,.,.,137902
137903,1247,19.1,80,65,97,137903
137904,1417,18.3,96,83,96,137904
138902,-1,21.2,87,61,80,138902
138903,-1,21,89,60,91,138903
138904,.,-1,100,71,-1,138904
139905,-1,20.9,87,67,93,139905
139908,-1,19,78,86,83,139908
139909,1562,21,74,67,83,139909
139911,1445,21.2,74,66,92,139911
139912,1403,19.5,86,58,88,139912
140901,.,17.3,72,63,80,140901
140904,1334,18.3,61,50,83,140904
140905,-1,18.9,58,71,83,140905
140907,.,22.4,66,53,91,140907
140908,-1,20.5,89,58,88,140908
141901,1475,22.1,86,79,92,141901
141902,1233,16.7,93,53,68,141902
142901,1244,17.5,67,49,86,142901
143901,1498,21.4,74,67,93,143901
143902,1503,19.3,83,83,100,143902
143903,1448,21.8,98,84,98,143903
143904,.,.,-1,.,.,143904
143905,.,.,100,.,.,143905
143906,.,.,.,.,.,143906
144901,1447,21.6,88,73,99,144901
144902,1358,20,93,90,90,144902
144903,-1,15.5,73,58,79,144903
145901,1346,17.1,70,55,89,145901
145902,1319,19.3,75,72,86,145902
145906,1376,20.6,75,76,63,145906
145907,1070,15.5,59,53,77,145907
145911,1355,19.3,67,53,87,145911
146901,1170,17.1,51,49,83,146901
146902,1349,18.7,81,61,82,146902
146903,.,.,100,.,.,146903
146904,1324,18,73,61,93,146904
146905,1322,19.6,97,60,96,146905
146906,1332,20.7,61,60,82,146906
146907,1405,21,75,70,99,146907
147901,1046,-1,91,64,81,147901
147902,1344,19.5,62,58,82,147902
147903,1354,17.2,77,63,85,147903
148901,.,21.4,79,72,88,148901
148902,.,20.5,88,-1,100,148902
148903,.,-1,55,42,70,148903
148905,.,-1,100,67,-1,148905
