,SAT_avg,ACT_avg,SAT/ACT_pct
090902,.,17.6,61.5
090903,-1,19.7,76.9
090904,986,21.5,51.8
090905,.,.,.
091901,1008,20.2,54.8
091902,.,21.8,76.9
091903,1015,21.3,51.5
091905,1044,23.7,70.3
091906,1092,22,42.5
091907,.,.,.
091908,1040,22.7,62.5
091909,1090,21.3,61.3
091910,1033,21.5,46.4
091913,946,23.5,39.4
091914,988,20.8,54.2
091917,1026,22.4,86.5
091918,1029,21.4,58.6
092801,-1,-1,6.3
092901,883,19,44.4
092902,1022,19.9,46.8
092903,1002,20,46.8
092904,1079,21.7,58.8
092906,1047,21.8,36.7
092907,1098,22.4,73.3
092908,1038,21.9,62.1
093901,964,19.8,63
093903,967,23,55.6
093904,833,17.2,53
093905,.,-1,25
094901,970,20.7,52.6
094902,1008,22.1,62.5
094903,1015,22.1,76.5
094904,985,19.8,46.2
095901,948,20.9,75
095902,-1,22,77.8
095903,-1,18.5,53.3
095904,911,19.3,100
095905,957,19.2,62.9
096904,-1,20.1,81.5
096905,-1,19.8,66.7
097902,966,20.4,69.1
097903,991,20.4,76.6
098901,.,21,73.3
098903,.,.,.
098904,.,18.2,95.2
099902,-1,22.3,57.1
099903,-1,22.1,48
100903,906,18.3,58.6
100904,891,19,58.6
100905,984,20.6,59.7
100907,994,20.7,68.3
100908,894,18.6,54.8
101801,.,.,.
101802,.,.,.
101803,.,.,.
101804,821,-1,18.8
101805,769,13.8,72.2
101806,825,-1,71.4
101807,.,.,.
101809,-1,-1,11.1
101810,.,.,.
101811,.,.,.
101812,812,16.7,9.2
101813,960,.,86.5
101814,.,.,.
101815,.,.,.
101819,.,.,.
101820,-1,-1,80
101821,-1,15.7,65.9
101822,.,.,0
101823,.,.,.
101828,.,.,.
101829,.,.,.
101833,.,.,.
101837,-1,.,7.7
101838,864,-1,36.5
101840,.,.,.
101842,-1,-1,12.5
101845,985,20.9,-2
101846,998,22.8,-2
101847,.,.,.
101848,.,.,.
101849,.,.,.
101850,.,.,.
101851,.,.,.
101852,-1,.,22.2
101853,.,.,.
101854,-1,.,4.3
101855,.,.,.
101856,.,.,.
101858,.,.,.
101859,.,.,.
101860,.,.,.
101861,.,.,.
101862,.,.,.
101863,.,.,.
101902,871,17,54.8
101903,893,18.1,57.7
101905,881,18.2,40.9
101906,993,19,55.9
101907,1047,22.2,66.6
101908,1006,22.4,38.6
101909,763,15.1,53.8
101910,889,17.5,42.8
101911,925,19,43.4
101912,934,18.8,69.7
101913,1028,22.5,68.2
101914,1078,23.7,73.3
101915,1036,22.9,68
101916,982,20.1,47.8
101917,914,19,41.6
101919,902,17.8,61.1
101920,1069,24.2,83.1
101921,1031,22.6,70.2
101924,825,18.4,55.6
101925,1004,21.6,48.4
102901,.,-1,28.6
102902,983,19.4,48.6
102903,.,18.1,60
102904,1009,22.1,58.5
102905,1018,20.5,85.7
102906,-1,20.9,74.6
103901,-1,-1,57.1
103902,.,-1,42.9
104901,.,21.1,85.7
104903,.,-1,33.3
104907,.,18.6,87.5
105801,1007,21,80.6
105802,.,.,.
105902,973,18.9,83.5
105904,1116,24.2,88
105905,1094,23.6,75
105906,961,20,64
106901,-1,22.3,81.8
107901,917,20.1,51.1
107902,974,20.9,41
107904,935,19.3,46.7
107905,997,21.8,51.4
107906,948,18.5,41.3
107907,-1,20.9,60
107908,.,.,.
107910,1035,-1,46.2
108801,-1,16.8,4.6
108802,.,.,.
108804,.,14.8,16.5
108807,918,19,-2
108808,.,.,.
108902,-1,16.7,59
108903,848,17,73.1
108904,995,17.6,79.7
108905,842,16.4,71.4
108906,961,18.9,73.4
108907,1024,16.6,73.6
108908,931,17.7,90
108909,905,16.6,69.4
108910,-1,15.9,88.8
108911,961,19.6,76.3
108912,893,16.7,59.7
108913,967,17.5,71.9
108914,.,14.9,74.2
108915,.,.,.
108916,914,16.2,66.1
109901,961,19.6,-2
109902,.,-1,50
109903,-1,17.6,-2
109904,920,20.2,49.4
109905,956,19.9,51.9
109907,904,18.3,100
109908,.,.,.
109910,.,.,.
109911,1016,22.4,51.7
109912,808,-1,53.8
109913,-1,-1,16.7
109914,884,-1,38.5
110901,.,19.8,75
110902,966,19.6,48.4
110905,1028,20.9,60
110906,-1,19.2,65
110907,955,21.6,85.7
110908,1092,23.8,50
111901,1066,23,53.9
111902,964,-1,50
111903,1020,22.5,62.5
112901,1025,21.1,57.9
112905,-1,20.3,52
112906,-1,21.2,59.4
112907,.,17.8,56.3
112908,918,18.6,65.1
112909,-1,19.1,61.5
112910,-1,20,63.2
113901,910,20.7,58.8
113902,955,20.1,44
113903,940,19.4,83.7
113905,888,18.9,-2
113906,736,15.7,40
114901,-1,20.5,53.6
114902,-1,19.2,65.4
114904,-1,21.7,38.5
115901,800,16.6,60.9
115902,788,14,81.8
115903,.,-1,-1
116801,1054,-1,45.5
116901,989,20.9,72.1
116902,-1,21.9,77.8
116903,1054,19.4,66.7
116905,1003,19.5,44.7
116906,986,20.7,67.8
116908,924,19.2,30.9
116909,980,21.5,59.5
116910,-1,22.3,52.6
116915,1044,22.9,48.4
116916,999,23.3,63.8
117901,1075,20.6,38.4
117903,-1,21.4,62.7
117904,-1,20.5,64.5
117907,.,.,.
118902,-1,20.3,80
119901,.,18.6,69.2
119902,970,19.9,73.3
119903,1000,25,66.7
120901,1020,19.8,48.2
120902,961,19.2,73.2
120905,1033,19.4,70.3
121902,-1,17.9,47.1
121903,926,19.8,48.4
121904,1004,18.8,76.9
121905,-1,18.8,63
121906,864,.,72.2
122901,964,20.4,-2
122902,-1,-1,-1
123803,-1,.,14.3
123805,.,.,.
123807,.,.,.
123905,995,22,72.9
123907,814,16.1,48.1
123908,966,21.7,68.5
123910,881,17.8,69.9
123913,944,-1,88.2
123914,932,20.2,83.3
124901,-1,16.4,-2
125901,1062,17.4,71.2
125902,-1,17.9,87.5
125903,962,19.3,80.4
125905,-1,16.4,78.4
125906,.,.,.
126901,970,19.2,40.3
126902,1016,22.3,52.2
126903,978,20.3,46.6
126904,1041,21.9,67.1
126905,988,21.8,56.3
126906,890,20.9,62.5
126907,935,18.4,50
126908,1005,18.5,37.4
126911,973,18.5,46.5
127901,1026,21.8,65.9
127903,-1,19.3,53.6
127904,891,20,72.5
127905,-1,19.2,42.9
127906,-1,19.5,84.8
128901,954,18,47.6
128902,916,17.8,48.5
128903,-1,15.9,78.6
128904,-1,22.1,94.4
129901,991,21.6,55.5
129902,1006,22.1,59
129903,921,19.8,48.3
129904,929,20.3,48
129905,990,21.8,56.5
129906,910,20.2,51.5
129910,973,21.1,46.4
130801,698,.,83.3
130901,1085,23.8,76.5
130902,988,19.6,77.8
131001,.,.,.
132902,.,23.1,87.5
133901,927,18.9,39.5
133902,.,.,.
133903,1008,23,58.5
133904,968,19,53
133905,.,.,.
134901,890,19.2,81.4
135001,-1,22.3,70
136901,997,20.2,75.6
137901,919,19.4,62.9
137902,.,.,.
137903,898,18,85.7
137904,-1,18.7,90.5
138902,-1,19.8,58.8
138903,.,16.3,59.3
138904,.,21.5,72.7
139905,.,22.2,72.6
139908,-1,21.4,78.6
139909,1065,20.9,52.3
139911,1023,21,41.2
139912,1068,20.4,62.3
140901,-1,-1,36.4
140904,976,18.8,64.6
140905,960,18.5,100
140907,-1,21.6,70
140908,-1,20.4,76.5
141901,981,22.4,57.3
141902,-1,-1,28.6
142901,894,17.6,52.8
143901,960,20.5,60.6
143902,1052,-1,93.3
143903,1043,23.1,78.1
143904,.,.,.
143905,.,.,.
143906,.,.,.
144901,968,21.1,65.1
144902,992,21.4,44.8
144903,866,.,80
145901,883,19.8,65.2
145902,971,21.6,58.1
145906,1000,20.7,53.3
145907,-1,16.1,47.6
145911,942,19.7,53.3
146901,854,16.8,37
146902,974,18.9,35.7
146903,.,.,.
146904,893,20.4,41.8
146905,872,22.5,56.1
146906,930,19.2,57.4
146907,950,21.8,50.9
147901,-1,-1,27.3
147902,946,20.4,58.3
147903,1140,19,68.1
148901,.,17.7,95.2
148902,.,20.4,92.9
148903,.,-1,-1
148905,.,-1,-1
149901,917,18.5,61.2
149902,1037,21.3,63.4
150901,998,21.7,83.7
152802,.,.,.
152803,-1,.,4.2
152805,.,.,.
152901,1020,20.8,56.6
152902,923,19.8,70
152903,880,19.4,48.2
152906,1016,21.4,64
152907,992,21.9,60.5
152908,966,20.1,61.2
152909,985,22,62
152910,940,20.1,85.5
153903,-1,19.3,85.7
153904,-1,19.9,73.3
153905,-1,20,64.3
153907,-1,-1,55.6
154901,961,18.7,57.6
154903,1033,18.8,60.7
155901,-1,17.7,63.5
156902,944,20.8,50
156905,-1,24.5,50
157901,1102,22.1,70.7
158901,943,18.8,57.6
158902,947,19.5,37.8
158904,.,.,.
158905,889,20.6,64.6
158906,902,18.3,65.1
159901,855,17.4,63.9
160901,-1,19.1,69.3
160904,-1,19.2,76.9
160905,.,-1,-2
161801,.,.,.
161802,.,.,0
161807,.,.,.
161901,982,21.1,72.3
161903,1079,23.7,64.6
161906,864,18,43.5
161907,1067,23,65
161908,870,-1,60
161909,1008,21.4,39.4
161910,894,18.8,52.4
161912,1010,21.1,65.8
161914,851,17,44.5
161916,978,19.3,42.7
161918,1131,21.7,44.7
161919,898,21.1,28.8
161920,1025,22.2,69.9
161921,994,22.1,52
161922,1058,21.7,56
161923,1021,23,40.9
161924,.,.,-1
161925,.,.,.
162904,832,20.5,82.4
163901,948,20.1,72.1
163902,938,21.4,65
163903,855,17.6,65.2
163904,1037,20.2,55.5
