,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
015904,1381,1055,822,669,64,784,13601,14468,816,2160,13102,20.9,24.2,22.2,40523,10.6,7.4,HARLANDALE ISD,015904,015,95.5
015905,1281,881,713,496,214,144,12596,12983,1000,1840,12017,24.9,24.1,28.7,37431,11,8.2,EDGEWOOD ISD,015905,015,95.2
015906,75,81,81,69,270,682,136,1144,121,140,340,16.8,18.8,14.9,46791,16.2,8.4,RANDOLPH FIELD ISD,015906,015,96.8
015907,4969,3700,3224,2704,5732,2394,48975,57273,2834,7793,53479,27.4,28.6,27.3,44767,15.3,11.2,SAN ANTONIO ISD,015907,015,94.9
015908,779,721,559,547,168,333,9444,9984,842,1300,8953,19,19.1,20.1,41889,13.2,10.5,SOUTH SAN ANTONIO ISD,015908,015,95.8
015909,225,177,144,121,15,553,2271,2848,222,422,2242,18.3,17.9,17.5,38907,9.1,4.9,SOMERSET ISD,015909,015,96
015910,4328,3858,3632,3027,4802,24960,19724,50875,3609,8608,18049,21.7,22.4,22.7,41519,12.2,8,NORTH EAST ISD,015910,015,95.2
015911,758,694,511,444,905,3269,3555,7777,640,1100,3921,21.9,21.5,22.5,40645,11.6,7,EAST CENTRAL ISD,015911,015,95.8
015912,932,660,558,446,399,1201,7950,9608,597,1217,7343,21.3,22.2,25,39274,9.3,6.2,SOUTHWEST ISD,015912,015,94.8
015913,55,44,35,23,206,548,167,977,74,138,348,13.8,13.9,15.9,44003,14.6,7.3,LACKLAND ISD,015913,015,97.6
015914,88,71,59,64,451,520,207,1221,147,182,489,12.4,13,12.9,44482,14.4,8.2,FT SAM HOUSTON ISD,015914,015,97.3
015915,5793,4699,4227,3787,4211,23415,34614,63739,5145,9802,28017,22.9,23.7,23.7,39850,12,7.8,NORTHSIDE ISD,015915,015,95.7
015916,1412,1145,1222,719,4025,5943,6142,16603,1152,2457,6955,20.7,20.5,22.3,39373,11,6.9,JUDSON ISD,015916,015,95.4
