,SAT_avg,ACT_avg,SAT/ACT_pct
108905,.,16.4,54
108906,937,18.6,64.3
108907,961,17.4,45.3
108908,889,17.8,61
108909,964,17,49.4
108910,1017,16.8,44.3
108911,990,18.9,65.5
108912,901,15.9,39.1
108913,934,18,52.1
108914,.,14.9,50.9
108915,.,.,.
108916,.,16.2,76.6
109901,1023,20.1,.
109902,.,20.7,50
109903,.,21.3,42.9
109904,1054,19.8,58.2
109905,.,18.3,66.7
109907,880,19.3,40.7
109908,.,.,.
109910,.,.,.
109911,936,19.4,62.9
109912,865,20.3,90
109913,.,.,50
109914,.,20.6,38.5
110901,.,19.7,62.5
110902,1004,20.5,61.3
110905,.,19.3,37.1
110906,850,18.5,94.7
110907,942,19.1,48.9
110908,.,21.3,37.5
111901,978,21.2,69.6
111902,976,.,52.2
111903,.,20.6,60.7
112901,988,20.7,68.8
112905,.,.,33.3
112906,902,20.1,69.6
112907,.,20.3,64.3
112908,990,19.3,51.2
112909,.,19.3,92.3
112910,.,19.8,33.3
113901,953,16.9,48.4
113902,891,19.3,63
113903,963,19.4,72.7
113905,946,18.3,86.2
113906,.,.,58.3
114901,1043,20.8,53.8
114902,1005,20.6,70.8
114904,.,22.4,40.5
115901,.,21.6,29.2
115902,.,16,33.3
115903,.,.,23.5
116901,1027,19.8,56.1
116902,980,19.2,59.1
116903,995,20,81
116905,973,19.9,49.6
116906,911,20.1,53.6
116908,908,18.7,50.5
116909,1026,20.1,48.5
116910,1010,20.1,72.7
116915,.,19.6,64
116916,894,.,38.7
117901,1047,20.9,58.2
117903,.,20.4,67.1
117904,1126,20.7,55.6
117907,.,.,.
118902,906,19.3,68
119901,923,.,50
119902,899,18.8,57.1
119903,1022,22.5,48
120901,961,20.1,59.7
120902,989,19.7,69.6
120905,1017,21.2,78.5
121902,.,.,0
121903,894,21.1,62.8
121904,1011,19.9,59.4
121905,988,19.6,58.5
121906,896,.,75.8
122901,874,19.5,80
122902,.,.,.
123801,.,.,.
123802,.,.,.
123803,.,.,.
123905,979,20.6,76.3
123907,840,18.2,.
123908,979,21.7,74
123910,922,19.7,57.3
123913,918,.,64.3
123914,951,.,74.5
124901,856,17.3,61.1
125901,992,18.4,64.5
125902,.,17.4,75
125903,.,19.4,75
125905,787,17.3,71.7
125906,.,.,.
126901,883,20.9,79.4
126902,1035,22.5,54.4
126903,980,20.9,60.1
126904,962,20.7,80.4
126905,958,20.9,64.3
126906,980,.,58.6
126907,878,18,78
126908,993,18.5,58
126911,956,21,60
127901,948,20.1,56.1
127903,.,19.6,65
127904,.,20.3,77.1
127905,.,.,40
127906,1078,20.6,85.5
128901,1005,21,60
128902,949,19.5,37.8
128903,.,18.6,80
128904,963,20.1,88.9
129901,935,20.2,62.8
129902,996,20.9,66.9
129903,975,20.7,46.5
129904,950,20.1,45
129905,974,19.4,51.2
129906,1000,18.2,43.5
129910,915,19.8,47.3
130901,1020,22,92
130902,954,19.4,63.6
131001,.,.,.
132902,.,20.8,64.3
133901,987,19.4,66.7
133902,.,.,.
133903,1030,21.1,67.2
133904,948,20.3,67.2
133905,.,.,.
134901,941,21.2,77.1
135001,.,.,.
