,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
057809,.,.,.,.,.,.,057809
057810,.,.,.,.,.,.,057810
057813,.,.,.,95,.,.,057813
057814,.,-1,-2,21,-1,-1,057814
057815,1134,15.5,37.8,71,50,70,057815
057816,.,.,.,100,100,.,057816
057817,.,.,.,64,60,93,057817
057819,.,.,0,-1,-1,.,057819
057825,1216,.,55.6,69,58,100,057825
057827,.,.,.,.,.,.,057827
057828,1412,20.9,7.9,58,50,79,057828
057829,1153,.,86.9,82,73,91,057829
057830,.,.,.,85,65,100,057830
057831,1137,15,92.5,68,63,90,057831
057832,-1,-1,12.5,63,43,-1,057832
057833,.,.,.,.,.,.,057833
057834,1290,.,6.5,41,35,64,057834
057835,.,.,.,.,.,.,057835
057836,.,.,.,.,.,.,057836
057837,.,.,.,81,.,.,057837
057838,1365,18,-2,91,79,98,057838
057839,.,.,.,100,.,.,057839
057840,1603,22.9,-2,-1,-1,99,057840
057841,.,.,.,.,.,.,057841
057842,1318,17.5,-2,77,72,98,057842
057843,1254,16.9,-2,86,74,90,057843
057844,.,.,.,.,.,.,057844
057845,.,.,.,98,88,.,057845
057846,.,.,.,87,82,.,057846
057847,.,.,.,88,73,.,057847
057848,.,.,.,88,75,.,057848
057903,1460,20.6,61.6,84,68,95,057903
057904,1325,19.3,69.4,75,63,91,057904
057905,1260,17.1,75.8,72,55,92,057905
057906,1261,17.2,67.9,67,47,79,057906
057907,1368,19.6,52.7,68,62,91,057907
057909,1426,20.6,49.6,82,67,94,057909
057910,1344,18.7,53.8,78,63,94,057910
057911,1780,26.7,-2,98,98,100,057911
057912,1238,18.4,83.9,73,55,93,057912
057913,1168,16,72.1,65,53,89,057913
057914,1338,18.2,55.1,78,68,92,057914
057916,1531,22.2,73.7,87,74,97,057916
057919,1465,23,90.6,93,95,96,057919
057922,1684,25.2,95.3,93,89,98,057922
058902,1120,15.3,87.5,100,71,100,058902
058905,-1,21.1,84.2,100,100,100,058905
058906,.,18.9,31,65,50,84,058906
058909,.,20,53.8,93,88,100,058909
059901,-1,19.4,35.8,64,53,83,059901
059902,.,.,.,.,.,.,059902
060902,-1,19.9,56.9,85,69,90,060902
060914,.,19.2,40,100,77,50,060914
061802,-1,.,11.1,55,48,87,061802
061804,.,.,.,.,.,.,061804
061901,1476,21,63.6,84,71,93,061901
061902,1612,24,73.6,94,85,96,061902
061903,1417,19.5,59.6,88,78,94,061903
061905,1391,21.3,65.8,89,83,96,061905
061906,1527,22,60.9,88,76,98,061906
061907,1466,20.4,65,96,79,99,061907
061908,1455,21.4,50,77,71,91,061908
061910,1569,23.3,86.7,96,90,99,061910
061911,1495,22.5,70.1,90,83,95,061911
061912,1488,22.3,69.9,81,72,95,061912
061914,1387,19.9,58.4,76,69,86,061914
062901,1430,19.9,52.4,79,64,81,062901
062902,.,-1,40,67,60,-1,062902
062903,1558,20.1,56.1,82,76,90,062903
062904,1382,21.1,56.8,73,80,100,062904
062905,.,.,.,.,.,.,062905
062906,.,.,.,-1,.,.,062906
063903,-1,18.4,83.3,81,76,100,063903
063906,.,-1,-1,100,71,83,063906
064903,1222,18.1,79.2,62,49,91,064903
065901,.,21,61,86,79,95,065901
065902,.,20.3,42.9,64,71,86,065902
066005,.,.,.,.,.,.,066005
066901,1135,17.3,-2,81,54,94,066901
066902,1241,17.2,66.3,69,40,88,066902
066903,-1,19.3,51,63,54,84,066903
067902,1396,21.5,37.3,86,80,97,067902
067903,1371,20.9,53.8,92,67,90,067903
067904,-1,20.6,50,90,73,79,067904
067907,1311,-1,50,67,58,73,067907
067908,.,20.3,63.6,91,93,71,067908
068801,1263,.,12.8,52,35,76,068801
068802,.,.,.,.,.,.,068802
068901,1392,20.7,41.5,71,56,81,068901
069901,.,19.8,52.4,73,59,93,069901
069902,-1,17.3,75.9,85,90,90,069902
070801,1434,-1,71.4,58,57,76,070801
070901,1360,-1,29.4,85,74,100,070901
070903,1459,19.8,48.7,81,56,86,070903
070905,1340,19.5,61.2,86,72,93,070905
070907,1367,19.1,44.7,86,72,91,070907
070908,1470,22.2,68.7,91,83,95,070908
070909,-1,20.5,84.6,93,77,92,070909
070910,1412,21.5,61.3,92,90,97,070910
070911,1401,20.5,56.8,86,76,95,070911
070912,1436,21,54.1,77,70,89,070912
070915,1405,21.4,61.5,84,79,100,070915
071801,1359,20.9,-2,97,90,100,071801
071803,1204,-1,8.7,65,40,93,071803
071804,1287,-1,10,51,48,68,071804
071806,1478,-1,78.3,96,74,96,071806
071807,.,.,.,.,.,.,071807
071809,.,.,.,.,.,.,071809
071901,1169,16.5,100,79,59,93,071901
071902,1430,18.7,80.9,80,63,90,071902
071903,1224,22,68.2,87,53,91,071903
071904,1270,16.5,60,76,52,92,071904
071905,1200,18.4,-2,85,70,95,071905
071906,-1,17.6,-2,82,53,100,071906
071907,1378,16.9,71.9,82,64,90,071907
071908,-1,17.2,39.8,82,60,88,071908
