,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
019912,-1,21.6,72.6,90,89,-1,019912
019913,.,.,.,.,.,.,019913
019914,.,.,0,.,.,.,019914
020901,1395,20.4,54.5,80,67,54,020901
020902,1401,21.2,41.3,78,71,85,020902
020904,1448,-1,58.5,81,63,.,020904
020905,1490,22.2,50.4,70,64,93,020905
020906,1384,20.7,56,93,76,.,020906
020907,1349,20.2,42.7,70,64,.,020907
020908,1484,21.4,67.7,88,77,80,020908
020910,.,.,.,100,.,.,020910
021803,.,-1,3.7,92,85,100,021803
021805,.,.,.,.,.,.,021805
021901,1618,23.3,75.1,91,80,71,021901
021902,1408,19.6,54.2,68,61,69,021902
022004,.,-1,60,100,82,-1,022004
022901,1348,20.7,65.3,92,89,-1,022901
022902,.,-1,80,-1,-1,.,022902
022903,.,.,.,-1,.,.,022903
023902,-1,23.2,54.5,85,92,.,023902
024901,1250,18.3,47.7,73,54,.,024901
025901,1326,19.8,60,65,81,.,025901
025902,1442,20.9,59.7,77,67,-1,025902
025904,.,18.3,81.8,94,78,.,025904
025905,-1,16.8,71.4,72,82,.,025905
025906,-1,21.2,75,94,80,.,025906
025908,.,-1,44.4,79,60,.,025908
025909,1486,21.1,83.5,99,82,.,025909
026901,1465,20.8,57.3,79,68,.,026901
026902,1294,.,50,60,47,.,026902
026903,1381,23.4,78.8,82,56,.,026903
027903,1333,19.6,60.3,84,67,81,027903
027904,1452,21.1,56.5,92,66,58,027904
028902,1392,18.4,56.5,92,70,89,028902
028903,1415,18.6,37.9,58,45,.,028903
028906,1483,21.3,64.3,50,73,50,028906
029901,1462,21,35.8,89,66,-1,029901
030901,.,22.7,74.1,83,90,.,030901
030902,1438,21.1,61.1,77,78,-1,030902
030903,-1,16.9,45,75,63,.,030903
030906,1548,22.2,87,96,86,-1,030906
031803,.,.,.,88,70,.,031803
031901,1289,18.5,51.6,74,62,67,031901
031903,1321,18.2,69.8,63,61,55,031903
031905,1314,17.8,68.3,75,67,.,031905
031906,1292,19.2,62.7,89,70,-1,031906
031909,1273,20.3,69,79,69,-1,031909
031911,1188,17.2,73.1,62,53,-1,031911
031912,1270,17.7,59.5,76,56,-1,031912
031913,1175,14.7,71.4,83,38,.,031913
031914,-1,15.3,89.6,65,62,-1,031914
031916,1498,21.5,-2,91,90,-1,031916
032902,1282,19.6,46.5,75,66,-1,032902
033901,-1,21.2,92.3,95,92,.,033901
033902,1440,20.4,72.2,90,72,-1,033902
033904,-1,18.8,79.3,100,90,.,033904
034901,-1,19.6,66.7,75,72,-1,034901
034902,-1,18.4,57.1,38,47,67,034902
034903,1538,19.3,73.4,87,72,91,034903
034905,.,19,70,85,67,.,034905
034906,-1,21.5,71.4,90,59,59,034906
034907,-1,20.2,62.2,89,84,.,034907
034909,.,18.9,92.3,81,73,.,034909
035901,.,18.4,66.7,52,55,-1,035901
035902,.,15.7,-2,79,58,.,035902
035903,.,23.2,83.3,100,95,.,035903
036901,1295,18.9,57.6,93,80,-1,036901
036902,1484,21.8,60,92,86,.,036902
036903,1364,21,61.6,86,70,.,036903
037901,1608,18.1,60,66,77,.,037901
037904,1515,18.7,59.5,84,73,-1,037904
037907,1551,22.6,46.4,75,70,-1,037907
037908,.,13.7,33.3,75,42,.,037908
037909,1282,.,59.1,75,75,-1,037909
038901,-1,20.3,64.7,77,56,-1,038901
039902,1374,22.8,73,79,86,.,039902
039903,-1,21.1,31,90,83,.,039903
039904,-1,-1,50,75,89,-1,039904
039905,-1,-1,66.7,100,85,.,039905
040901,-1,16.2,75,46,56,.,040901
040902,-1,18.5,82.4,80,89,.,040902
041901,-1,20.3,81.3,56,52,.,041901
041902,-1,20.1,66.7,100,74,.,041902
042901,-1,20.5,81.3,85,53,63,042901
042903,-1,-1,40,87,79,.,042903
042905,-1,22.3,-2,80,70,.,042905
043801,.,.,.,95,95,.,043801
043901,1588,24.1,81.7,94,90,100,043901
043902,1394,20.8,53.9,83,69,-1,043902
043903,1605,22.8,85.5,96,79,.,043903
043904,1440,22.2,56.4,78,74,-1,043904
043905,1582,23.6,79.3,96,93,92,043905
043907,1580,23.7,77.7,91,84,74,043907
043908,1559,22.6,65.1,90,77,-1,043908
043910,1666,25.6,82.2,92,88,63,043910
043911,1460,21.1,47.3,76,77,-1,043911
043912,1557,23.4,84.2,94,91,-1,043912
043914,1467,22.2,68.7,88,83,56,043914
043917,1511,21.2,42.9,80,79,-1,043917
043918,1478,20.8,55.7,73,66,.,043918
043919,1650,24.3,95.5,97,97,-1,043919
044902,-1,18.6,91.7,67,69,.,044902
045902,1398,20.4,74.4,90,58,.,045902
045903,1380,18.3,84.9,82,64,.,045903
045905,1472,22,78.7,84,77,-1,045905
046802,-1,.,-1,-1,53,.,046802
046901,1483,21.9,64.3,81,81,-1,046901
046902,1470,22,73.6,91,82,56,046902
047901,1329,19.7,73.8,90,75,-1,047901
047902,1300,19.5,84.1,75,64,.,047902
047903,-1,-1,50,37,50,.,047903
047905,1387,-1,77.8,54,62,.,047905
048901,-1,18.2,75,69,67,.,048901
048903,-1,-1,57.1,56,64,.,048903
049901,1335,20,42.2,87,67,.,049901
049902,1559,24.1,79.5,100,89,100,049902
049903,1436,20.3,61,94,80,.,049903
049905,1410,20.3,60.8,69,77,-1,049905
049906,1377,17.4,57.1,91,83,.,049906
049907,1552,23.3,92.9,96,88,.,049907
049908,.,.,.,.,.,.,049908
049909,.,.,.,.,.,.,049909
050901,.,19.5,44.4,64,44,.,050901
050902,1457,21,54.4,88,78,-1,050902
050904,1365,-1,100,100,78,.,050904
050909,-1,21.7,42.9,88,67,.,050909
050910,1396,20.2,64,85,71,.,050910
051901,.,16.9,50,69,79,.,051901
052901,1439,18.8,56,74,69,-1,052901
053001,-1,17.8,58.5,52,54,.,053001
054901,-1,18.6,62.5,77,59,96,054901
054902,-1,16.5,88.9,64,58,-1,054902
054903,1448,20.5,58.8,84,67,.,054903
055901,1393,16.1,68.8,71,61,.,055901
056901,1822,19.5,67.5,84,63,-1,056901
056902,.,18,-1,-1,90,.,056902
057802,1338,20.1,84.4,48,53,.,057802
057803,1737,26.1,-2,98,89,.,057803
057804,1082,13.8,10.1,35,25,.,057804
057805,.,.,.,.,.,.,057805
057806,1278,-1,40.4,69,65,-1,057806
057807,1324,17.7,85,88,74,-1,057807
057808,1339,16.9,100,80,77,.,057808
057809,.,.,.,.,.,.,057809
057810,.,.,.,.,.,.,057810
057811,.,.,.,.,.,.,057811
057813,.,.,.,96,.,.,057813
057814,.,.,.,-1,-1,.,057814
057815,1200,-1,64.7,58,45,70,057815
057816,.,.,.,.,.,.,057816
057817,.,.,.,55,60,.,057817
057819,.,-1,20,63,-1,.,057819
057825,1263,-1,11.3,86,47,.,057825
057827,.,.,.,.,.,.,057827
057828,1398,-1,8.8,37,56,64,057828
057829,1212,.,86.8,70,62,.,057829
057830,.,.,.,69,57,.,057830
057831,1109,14.5,-2,67,41,.,057831
057832,-1,.,7.4,63,62,.,057832
057833,.,.,.,.,.,.,057833
057834,1288,.,4.6,39,26,.,057834
057835,.,.,0,.,.,.,057835
057836,.,.,.,.,.,.,057836
057837,.,.,.,.,.,.,057837
057838,1337,17,-2,74,88,.,057838
057839,.,.,.,.,.,.,057839
057840,1564,23.2,-2,.,.,.,057840
057841,.,.,.,.,.,.,057841
057842,1311,17.4,-2,70,78,.,057842
057843,1180,16.1,-2,68,68,.,057843
057844,.,.,.,.,.,.,057844
057845,.,.,.,93,.,.,057845
057846,.,.,.,.,.,.,057846
057903,1476,21.8,65.1,83,71,79,057903
057904,1342,19.1,77.5,74,63,93,057904
057905,1272,17.2,77,67,57,62,057905
057906,1288,18,71.8,62,48,-1,057906
057907,1340,19,54.6,67,62,50,057907
057909,1433,20.9,57,79,71,62,057909
057910,1371,19.2,52,73,63,40,057910
057911,1792,26.6,-2,96,98,-1,057911
057912,1278,19.2,79.7,66,56,90,057912
057913,1215,16.1,71.3,55,49,-1,057913
057914,1354,19.1,57.8,81,74,64,057914
057916,1512,22.4,74.8,85,77,81,057916
057919,1478,21.2,91,98,94,.,057919
057922,1696,25.1,95.1,90,90,-1,057922
058902,-1,16.5,100,90,64,.,058902
058905,-1,20.6,58.8,100,88,.,058905
058906,1280,19.1,50.6,49,54,-1,058906
058909,-1,-1,30.8,94,93,.,058909
059901,1367,18.3,56.5,55,40,63,059901
059902,.,.,.,.,.,.,059902
060902,1508,20.1,70.6,81,59,-1,060902
060914,.,21,75,100,76,50,060914
061802,1518,-1,50,58,58,-1,061802
061804,.,.,.,.,.,.,061804
061901,1470,20.7,67.9,80,71,62,061901
061902,1607,23.7,76.9,93,87,82,061902
061903,1428,21.2,86.5,88,87,.,061903
061905,1558,23.7,55.3,80,75,.,061905
061906,1448,22.4,64.2,77,79,.,061906
061907,1465,21.6,63.8,97,86,-1,061907
061908,1456,21.2,54.7,71,65,100,061908
061910,1577,23.6,91.4,90,87,-1,061910
061911,1476,22.8,74.9,90,85,84,061911
061912,1459,22,65.8,77,78,-1,061912
061914,1352,19.2,66.4,79,63,-1,061914
062901,1512,21.1,61.6,78,66,-1,062901
062902,-1,-1,33.3,71,75,-1,062902
062903,1494,20.1,60.7,76,54,-1,062903
062904,1396,20.2,45.9,37,54,.,062904
062905,.,.,.,.,.,.,062905
062906,.,.,.,-1,.,.,062906
063903,-1,17.3,-2,79,87,-1,063903
063906,-1,19.4,-1,100,86,.,063906
064903,1265,18.1,58.8,64,46,.,064903
065901,-1,19.8,73.2,94,78,.,065901
065902,.,20.2,60,-1,-1,.,065902
066005,.,.,.,.,.,.,066005
066901,1320,17.5,71,74,66,.,066901
066902,-1,17.1,60,69,48,.,066902
066903,.,17.2,50,51,50,.,066903
067902,1440,21.1,40.9,87,83,-1,067902
067903,1407,20.1,72.7,88,76,-1,067903
067904,1340,-1,60,73,63,-1,067904
067907,1282,19.1,89.7,68,81,.,067907
067908,-1,18.5,60,94,94,.,067908
068801,-1,-1,2.3,50,48,.,068801
068802,.,.,.,.,.,.,068802
068901,1396,20.6,39.5,68,56,73,068901
069901,-1,17.7,80,59,-1,.,069901
069902,-1,18.3,82.1,100,93,.,069902
070801,-1,-1,18.8,53,50,.,070801
070901,1256,-1,42.1,94,81,.,070901
070903,1414,19.1,55.5,66,56,-1,070903
070905,1293,18.6,58,83,71,-1,070905
070907,1247,18,69.4,88,57,-1,070907
070908,1507,22,68.3,88,78,-1,070908
070909,.,17.7,75,100,59,.,070909
070910,1408,20.1,69.8,96,81,.,070910
070911,1424,20.4,64.9,81,76,-1,070911
070912,1454,20.6,55.9,84,70,83,070912
070915,1308,21.1,61.1,74,84,.,070915
071801,1452,21.2,-2,96,90,.,071801
071803,1118,.,7.6,64,61,.,071803
071804,1104,-1,11.8,39,37,-1,071804
071806,1433,-1,-2,95,77,.,071806
071807,.,.,.,.,.,.,071807
071809,.,.,.,.,.,.,071809
071901,1245,17.3,62.7,76,64,45,071901
071902,1418,18.4,79.1,81,67,66,071902
071903,1208,16.6,71.4,79,55,-1,071903
071904,1241,17,63.9,60,53,-1,071904
071905,1185,18.2,99.2,80,71,54,071905
071906,-1,17.3,97.9,75,64,.,071906
071907,1257,16.6,68,82,60,-1,071907
071908,1281,17.1,51.8,84,66,.,071908
071909,1287,18.2,68.5,78,71,67,071909
072801,1350,17.9,24.2,61,50,87,072801
072802,-1,-1,11.1,53,55,-1,072802
072901,.,.,.,.,.,.,072901
072902,1339,20.1,63.9,90,61,.,072902
072903,1520,22.9,74.9,86,81,.,072903
072904,.,.,.,-1,.,.,072904
072908,1484,22.3,-2,100,86,.,072908
072909,1236,18.6,81.3,82,72,.,072909
072910,.,.,.,.,.,.,072910
073901,-1,17.3,68.6,79,59,.,073901
073903,1149,16.7,53.5,80,39,-1,073903
073904,.,.,.,100,.,.,073904
073905,1389,21.1,40.4,65,56,.,073905
074903,1432,21.4,48.7,73,67,.,074903
074904,.,24.1,70,95,85,.,074904
074905,1307,18.6,63.6,87,90,73,074905
074907,-1,19.8,63,72,80,.,074907
074909,1547,20.9,78.3,88,82,-1,074909
074911,1297,21,80,62,78,.,074911
074912,1357,20.1,64.1,91,80,-1,074912
074917,-1,19.8,64.1,85,81,.,074917
075901,1431,19.5,87.1,90,76,.,075901
075902,1474,20.7,66.7,79,74,.,075902
075903,1438,20.3,76,79,71,.,075903
075906,1390,22.8,100,87,88,.,075906
075908,1505,.,75,84,90,.,075908
076903,.,20.5,73.3,86,65,.,076903
076904,-1,20.1,81,53,86,-1,076904
077901,-1,19,80,67,47,-1,077901
077902,-1,18.3,87.5,72,72,.,077902
078901,-1,17.4,62.5,88,81,75,078901
079901,1476,20.5,67.4,79,78,28,079901
079906,1461,21.3,60.8,79,73,-1,079906
079907,1508,22.3,84.9,83,77,70,079907
079910,1357,18,76,72,57,-1,079910
080901,1446,19.8,51,87,79,.,080901
081902,1459,19.4,57.6,95,95,-1,081902
081904,1394,18.5,72.6,66,75,-1,081904
081905,1262,17.5,53.1,80,61,.,081905
081906,.,.,.,.,.,.,081906
082902,1320,16.8,55.2,55,47,100,082902
082903,1318,18.2,49.6,57,44,-1,082903
083901,.,19.2,37.9,61,53,.,083901
083902,.,21.9,63.6,91,78,.,083902
083903,1412,21.2,53.2,83,75,-1,083903
084801,.,.,.,-1,.,.,084801
084802,.,.,.,95,.,.,084802
084804,.,.,.,-1,.,.,084804
084805,.,.,0,41,61,.,084805
084901,1372,18.6,44.2,82,66,56,084901
084902,1325,19.4,60.2,67,55,-1,084902
084903,1343,-1,63.2,57,74,.,084903
084904,1239,16.3,65.8,52,45,-1,084904
084906,1353,17.8,46.6,65,66,-1,084906
084908,1234,18.5,41.5,40,49,-1,084908
084909,1405,20,43.5,63,60,100,084909
084910,1570,23.5,77.3,91,84,84,084910
084911,1625,24.7,83.7,95,92,100,084911
085902,.,18.7,55.3,94,68,.,085902
085903,-1,19.9,76.9,77,77,.,085903
086024,.,.,.,.,.,.,086024
086901,1504,22,68,84,73,-1,086901
086902,1523,21.7,81.3,96,88,.,086902
087901,-1,19.8,94.7,88,83,.,087901
088902,1318,18.5,56.9,80,59,.,088902
089901,1334,19.4,53.8,68,54,-1,089901
089903,1414,19.1,55.9,81,68,.,089903
089905,1193,-1,53.3,60,68,.,089905
090902,.,17.3,88.9,85,60,.,090902
090903,-1,20.9,-2,100,65,.,090903
090904,1457,20.5,48.4,78,64,-1,090904
090905,.,.,.,.,.,.,090905
091901,1466,21.4,61.4,84,73,.,091901
091902,1437,21.8,75,92,74,.,091902
091903,1463,21.7,51,84,80,-1,091903
091905,1510,21.2,52.4,92,87,-1,091905
091906,1602,21.6,39.3,79,74,-1,091906
091907,.,.,.,100,80,.,091907
091908,1478,22.3,69,90,86,-1,091908
091909,1462,20.9,55.7,74,74,-1,091909
091910,1509,21.9,56.9,77,73,-1,091910
091913,1453,22.8,53,97,89,-1,091913
091914,1531,19.8,79.3,88,85,80,091914
091917,1567,22.5,76.7,77,85,.,091917
091918,1473,22.1,59.3,62,68,-1,091918
092801,-1,-1,9.1,68,71,-1,092801
092901,1286,18.8,41.9,80,75,84,092901
092902,1428,19.2,48.3,74,65,.,092902
092903,1425,19.3,59.1,65,58,77,092903
092904,1496,22.5,55.4,75,66,-1,092904
092906,1449,20.9,39.4,81,70,.,092906
092907,1570,22.3,84.1,86,82,.,092907
092908,1496,21.9,66,90,93,.,092908
093901,1357,20.2,70.9,86,78,-1,093901
093903,1403,22,66.7,66,77,.,093903
093904,1281,18,59.7,61,62,-1,093904
093905,-1,-1,-1,67,44,.,093905
094901,1364,20.2,54.8,74,58,-1,094901
094902,1462,22,68.7,83,74,83,094902
094903,1439,20.9,87.2,83,78,-1,094903
094904,1445,20.4,66.3,79,82,-1,094904
095901,1304,19.8,77.8,89,75,-1,095901
095902,-1,-1,-1,100,75,.,095902
095903,-1,17.5,79.1,42,65,.,095903
095904,-1,19.6,92.9,33,62,.,095904
095905,1502,19.9,53.9,78,66,.,095905
096904,-1,18.2,71.9,94,74,.,096904
096905,.,20.8,77.8,100,79,.,096905
097902,1411,20.6,67.4,66,88,.,097902
097903,1440,19.3,57.7,96,88,.,097903
098901,.,19.8,82.6,90,84,.,098901
098903,.,.,.,-1,.,.,098903
098904,.,19.5,78.6,88,69,.,098904
099902,-1,-1,33.3,89,71,.,099902
099903,.,19.5,53.8,93,63,.,099903
100903,1270,19,63.4,67,57,.,100903
100904,1331,19.2,60.1,85,69,100,100904
100905,1396,20.5,74.4,93,87,.,100905
100907,1477,21.1,67.2,81,72,-1,100907
100908,1284,14.8,44.9,69,79,-1,100908
101801,.,.,.,.,.,.,101801
101802,.,.,.,86,.,.,101802
101803,.,.,.,100,.,.,101803
101804,1204,.,27.3,50,32,.,101804
101805,1166,15.3,66.7,32,43,.,101805
101806,1324,15.3,64.7,57,64,.,101806
101807,.,.,.,.,.,.,101807
101809,1129,.,45.2,62,47,.,101809
101810,.,.,.,.,.,.,101810
101811,.,.,.,.,.,.,101811
101812,1258,13.6,7.9,43,29,.,101812
101813,1420,.,42.7,97,77,.,101813
101814,.,.,.,.,.,.,101814
101815,.,.,.,.,.,.,101815
101819,.,.,.,.,.,.,101819
101821,1436,14.7,28.6,64,56,.,101821
101822,-1,.,-1,-1,-1,.,101822
101828,1134,-1,-2,91,69,100,101828
101829,.,.,.,.,.,.,101829
101833,.,.,.,.,.,.,101833
101837,1368,-1,17.6,78,55,.,101837
101838,1214,-1,57.8,79,67,.,101838
101840,.,.,.,.,.,.,101840
101842,.,.,0,86,-1,.,101842
101845,1470,21.3,-2,92,84,.,101845
101846,1450,22.3,95.9,89,82,-1,101846
101847,.,.,.,.,.,.,101847
101848,.,.,0,.,.,.,101848
101849,.,.,.,.,.,.,101849
101850,.,.,.,.,.,.,101850
101852,-1,.,-1,100,-1,.,101852
101853,.,.,.,.,.,.,101853
101854,-1,-1,3.3,-1,21,31,101854
101855,.,.,.,.,.,.,101855
101856,.,.,0,.,.,.,101856
101858,1565,20.5,98.2,90,82,.,101858
101859,.,.,.,.,.,.,101859
101860,.,.,.,88,72,.,101860
101861,.,.,.,.,.,.,101861
101862,.,.,.,96,92,.,101862
101863,.,.,.,.,.,.,101863
101864,.,.,.,.,.,.,101864
101865,.,.,0,24,29,.,101865
101867,.,.,.,.,.,.,101867
101902,1278,17.7,57.3,72,60,73,101902
101903,1295,18.2,63.7,76,68,66,101903
101905,1285,17.8,53.8,74,62,-1,101905
101906,1435,19.4,52.1,87,64,-1,101906
101907,1496,21.6,67.7,87,76,84,101907
101908,1472,21.6,50.3,89,79,-1,101908
101909,1114,15.5,51.5,46,30,-1,101909
101910,1295,18.1,49.3,81,67,71,101910
101911,1370,18.1,47.3,79,68,67,101911
101912,1253,20.5,99.8,72,63,64,101912
101913,1473,22,72.7,85,80,65,101913
101914,1577,23.5,79.2,90,83,76,101914
101915,1500,22.9,70.2,81,74,91,101915
101916,1426,20,54.8,72,71,-1,101916
101917,1317,19.2,50.3,80,64,56,101917
101919,1275,17.7,66.6,66,56,64,101919
101920,1550,23.7,83.6,78,72,76,101920
101921,1512,22.7,66.6,92,85,-1,101921
101924,1238,17.6,61.8,73,57,-1,101924
101925,1427,19.9,75.4,74,70,-1,101925
102901,.,14.6,62.5,83,-1,-1,102901
102902,1378,19.2,52.8,74,65,-1,102902
102903,-1,20.5,48.8,86,77,-1,102903
102904,1461,21.8,62.9,89,84,-1,102904
102905,1610,22,70,81,82,87,102905
102906,.,20.1,72.5,69,78,93,102906
103901,.,-1,57.1,81,84,-1,103901
103902,.,17,87.5,100,100,.,103902
104901,-1,21.1,71.9,67,80,.,104901
104903,.,-1,50,88,100,.,104903
104907,-1,22.6,66.7,85,91,.,104907
105801,1491,-1,67.6,64,74,-1,105801
105802,.,.,.,.,.,.,105802
105902,1426,19.5,71.2,65,61,-1,105902
105904,1625,24.6,90,94,93,-1,105904
105905,1536,22.3,88.8,88,87,-1,105905
105906,1377,19.5,67,82,67,-1,105906
106901,-1,21.7,67.9,87,78,.,106901
107901,1392,18.9,56.4,67,61,74,107901
107902,1424,21,40.8,85,69,-1,107902
107904,1560,19.9,39.6,71,70,65,107904
107905,1414,19.7,54.1,79,77,-1,107905
107906,1280,19.5,47.9,84,66,-1,107906
107907,-1,-1,33.3,42,59,.,107907
107908,.,.,.,.,.,.,107908
107910,1396,-1,19.2,74,76,.,107910
108801,-1,15.3,10.1,23,27,32,108801
108802,.,.,.,.,.,.,108802
108804,.,16.6,8.6,41,26,.,108804
108807,1358,19.8,-2,84,80,-1,108807
108808,1440,.,-2,99,87,.,108808
108809,.,.,.,.,.,.,108809
108902,1439,17,59.8,71,50,-1,108902
108903,1183,17,76.4,67,49,-1,108903
108904,1408,17.7,75.4,70,57,97,108904
108905,1262,16.8,79.2,65,50,-1,108905
108906,1407,18.9,75,79,68,79,108906
108907,1379,17.3,75.3,67,60,-1,108907
108908,1337,17.7,84.7,71,51,64,108908
108909,1302,16.9,71.1,55,45,81,108909
108910,1265,16.6,62.9,60,42,.,108910
108911,1407,19.8,77.5,86,72,-1,108911
108912,1259,16.9,60.8,66,48,33,108912
108913,1440,17.6,70.8,77,54,90,108913
108914,-1,15.8,78.4,80,68,.,108914
108915,-1,.,-2,69,46,.,108915
108916,1430,17.2,65.4,85,61,-1,108916
109901,1577,21.9,94.7,100,84,.,109901
109902,-1,19.9,38.1,95,63,.,109902
109903,-1,20.3,-2,70,60,.,109903
109904,1375,-1,26.5,90,68,.,109904
109905,1311,-1,30,65,82,-1,109905
109907,1387,20.6,54.3,68,71,-1,109907
109908,.,.,.,.,.,.,109908
109910,.,.,.,47,68,-1,109910
109911,1511,22.6,46.5,66,66,.,109911
109912,1285,18.5,82.4,72,66,.,109912
109913,-1,15.7,33.3,73,70,.,109913
109914,1266,-1,43.8,79,60,.,109914
110901,-1,17.6,76.2,94,73,.,110901
110902,1320,19.4,49.4,69,59,-1,110902
110905,1531,20.5,82.8,97,91,.,110905
110906,1375,19.8,76,69,72,.,110906
110907,1369,19.8,79.4,93,89,-1,110907
110908,-1,20.3,90,85,87,.,110908
111901,1461,21.7,58.2,87,83,76,111901
111902,1364,18.2,61.9,84,88,.,111902
111903,1484,21.7,81.5,86,72,.,111903
112901,1469,21.2,56,76,68,-1,112901
112905,1450,20.3,66.7,75,79,.,112905
112906,-1,21.6,33.3,88,63,-1,112906
112907,.,20.4,35,91,86,.,112907
112908,1420,19.1,57.4,62,55,-1,112908
112909,-1,18.8,72.2,95,79,.,112909
112910,-1,18.8,47.4,75,73,-1,112910
113901,1288,17.5,62.8,65,44,-1,113901
113902,-1,17.2,45.7,78,74,.,113902
