,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
007901101,487335,,253.0,59348.0,62961.0,34037.0,,,,,,,,,11008.0,,,,
007902001,1705494,262842.0,46382.0,139930.0,154495.0,3333.0,,,,,,,,,40755.0,123691.0,60162.0,21244.0,
007902004,26236,,,,,,,,,,,,,,,,,,
007902005,26235,,,15112.0,13862.0,,,,,,,,,,,,,750.0,
007902041,1358750,27215.0,,26500.0,266236.0,6733.0,,,,,,,,,5977.0,103264.0,,11967.0,
007902101,2140584,,,,180401.0,17138.0,,,,,,,,,3198.0,108959.0,,22154.0,
007902751,39307,,,,18513.0,-83.0,,,,,,,,,,,,,
007904001,1514736,228866.0,8869.0,344371.0,151515.0,1046.0,,,,,,,,,26244.0,176428.0,19402.0,4182.0,
007904041,1261406,43250.0,7349.0,102765.0,149817.0,15358.0,,,,,,,,,14111.0,60912.0,19402.0,8283.0,
007904101,1507103,,3072.0,106205.0,245510.0,6606.0,,,,,,,,,6582.0,85263.0,19461.0,5769.0,
007904103,702059,,3450.0,96428.0,168516.0,15783.0,,,,,,,,,3095.0,52634.0,20458.0,4268.0,
007905001,2408272,284128.0,,,522354.0,1500.0,,,,,,,,,5669.0,444088.0,,8930.0,
007905005,44649,,,,,,,,,,,,,,43.0,,,,
007905041,1675552,70970.0,,41715.0,321702.0,1625.0,,,,,,,,,6251.0,103060.0,,2210.0,
007905103,2251951,,35261.0,,342150.0,9500.0,,,,,,,,,4043.0,198367.0,,,
007905104,1377164,,,41715.0,172129.0,1650.0,,,,,,,,,3906.0,169261.0,,,
007905105,1336338,,29876.0,,140028.0,13379.0,,,,,,,,,3571.0,197366.0,,7687.0,
007906001,1264796,351547.0,,35850.0,291157.0,,,,,,,,,,450.0,477.0,,9451.0,
007906041,1087855,43768.0,,46750.0,195239.0,300.0,,,,,,,,,6250.0,,,,
007906101,1336715,,29145.0,600.0,187768.0,120877.0,,,,,,,,,,,,,
007906102,751995,,27759.0,600.0,150887.0,26165.0,,,,,,,,,,,,,
008901001,1834079,251081.0,,129993.0,200710.0,36514.0,,,,,,,,,97858.0,,,8876.0,
008901041,1792055,48041.0,7549.0,115175.0,190854.0,35568.0,,,,,,,,,36549.0,,,3962.0,
008901101,1712261,,25426.0,180964.0,282707.0,64556.0,,,,,,,,,45382.0,,,4080.0,
008901102,960954,,25262.0,64600.0,154854.0,13495.0,,,,,,,,,18579.0,,,2180.0,
008901105,654929,,11889.0,25074.0,68216.0,,,,,,,,,,6892.0,,,1299.0,
008901999,9385,,,8900.0,200474.0,1207.0,782273.0,,,,,,,1039572.0,26073.0,680294.0,78657.0,14084.0,
008902001,2308974,229063.0,,74726.0,523387.0,454.0,,,,,,,,,13014.0,,,,
008902041,2071149,62117.0,,98292.0,456952.0,,,,,,,,,,11928.0,,,,
008902102,2939816,,750.0,44014.0,299816.0,43921.0,,,,,,,,,10882.0,,,,
008902103,1372502,,750.0,5335.0,322242.0,12202.0,,,,,,,,,7390.0,,,,
008903001,614310,78436.0,77852.0,18309.0,161623.0,,,,,,,,,,77082.0,104539.0,,,
008903041,615118,46594.0,22239.0,162111.0,54926.0,,,,,,,,,,10768.0,70137.0,,,
008903102,671555,,164130.0,69990.0,187717.0,193400.0,,,,,,,,,52988.0,69052.0,,,
008903103,284258,,,4080.0,5227.0,,,,,,,,,,108647.0,22614.0,,,
009901001,1112388,219388.0,,,183293.0,8556.0,,,,,,,,,19460.0,,,,
009901041,1089295,24083.0,6943.0,25385.0,237557.0,9164.0,,,,,,,,,22632.0,,,,
009901101,777645,,1858.0,27755.0,290407.0,14951.0,,,,,,,,,31191.0,,,,
009901103,908685,,1798.0,37703.0,229039.0,9302.0,,,,,,,,,17300.0,,,,
010901001,952140,49933.0,4712.0,117185.0,134859.0,2693.0,,48.0,,,,,,,68139.0,95909.0,749.0,,
010902001,1688080,201442.0,4532.0,167774.0,297665.0,4840.0,,,,,,,,,17541.0,35048.0,,66.0,
010902041,1510129,35908.0,11372.0,149907.0,233503.0,6479.0,,,,,,,,,6338.0,,,27.0,
010902101,1309112,,17196.0,384493.0,271113.0,13164.0,,,,,,,,,3814.0,,,452.0,
010902102,1180045,,1535.0,392200.0,327127.0,3881.0,,,,,,,,,7233.0,,,143.0,
010902999,8400,89606.0,,,94783.0,,878656.0,,,,,,,1107014.0,197787.0,501924.0,77020.0,165764.0,
011901001,3300559,316683.0,126608.0,289339.0,999782.0,11669.0,,,,,,,,,197762.0,498.0,,,
011901002,4292521,301480.0,119816.0,300624.0,1007934.0,20433.0,,,,,,,,,108049.0,525.0,,,
011901005,608530,,53672.0,55278.0,22463.0,5118.0,,,,,,,,,2901.0,33.0,,,
011901041,2260882,69941.0,70996.0,189599.0,502168.0,22133.0,,,,,,,,,24107.0,250.0,,,
011901101,1805213,,29844.0,46968.0,462641.0,15866.0,,,,,,,,,10756.0,150.0,,,
011901102,1963084,,31725.0,41974.0,742182.0,16500.0,,,,,,,,,23577.0,352.0,,,
011901103,2289383,,30111.0,63302.0,490837.0,253512.0,,,,,,,,,34301.0,253.0,,,
011901104,2229625,,,107390.0,628747.0,54099.0,,,,,,,,,17129.0,262.0,,,
011901106,2488559,92429.0,61788.0,240152.0,600755.0,8148.0,,,,,,,,,27991.0,279.0,,,
011901107,2003106,,30204.0,118532.0,416249.0,180007.0,,,,,,,,,37285.0,214.0,,,
011901108,2383029,,1268.0,173014.0,540708.0,148379.0,,,,,,,,,15357.0,223.0,,,
011901109,2311662,,31904.0,113165.0,432651.0,140557.0,,,,,,,,,14663.0,215.0,,,
011901110,2137528,,30514.0,213392.0,403242.0,203698.0,,,,,,,,,14048.0,199.0,,,
011901699,1210,,,158278.0,6355.0,25606.0,,,,,,,,,75511.0,,,,
011902001,2983875,450100.0,,291596.0,629220.0,,,,,,,,,,33423.0,387324.0,,36188.0,
011902041,2880910,63387.0,,289169.0,571766.0,,,,,,,,,,25864.0,212764.0,,14527.0,
011902101,2171188,,67594.0,84137.0,203491.0,,,,,,,,,,13365.0,87097.0,,6628.0,
011902102,2102635,,59504.0,68630.0,176997.0,,,,,,,,,,12447.0,125304.0,,10900.0,
011902103,2116162,,57838.0,83249.0,508740.0,,,,,,,,,,27604.0,106390.0,,10790.0,
011902999,60500,,,123874.0,350693.0,144876.0,2625770.0,,,,,,,,200122.0,359480.0,178613.0,336954.0,
011904002,1369281,,,,401269.0,-1497.0,,,,,,,,,5826.0,211671.0,,,
011904041,1197613,,16363.0,3576.0,380490.0,6365.0,,,,,,,,,21997.0,153269.0,,,
